,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20040101,1.268,-3.41,90.94145833333332,0.2,97.432,25.256,-9.78872340426,0.25324503264786,-0.998692,-2.9149,0.8,0.0149,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.28300000000000003
1,20040102,1.839,-4.697,92.67458333333332,0.1,97.31200000000001,17.965,2.1925,0.24092945273376304,-1.07113,-3.6854199999999997,0.8,0.0154125,1,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.299
2,20040103,1.2109999999999999,-7.475,90.65270833333334,0.0,97.824,30.142,-3.229375,0.06496894814277586,0.211186,-3.9167699999999996,0.8,0.015925,1,0.1,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.273
3,20040104,1.253,-8.01,87.80791666666666,1.5,97.26899999999999,22.735,0.287291666667,0.04427316937382327,1.30385,-5.76865,0.8,0.0164375,1,1.5,1.6,1.8,1.8,1.8,1.8,1.8,1.8,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.212
4,20040105,0.9420000000000001,-9.396,91.62645833333336,4.2,97.51299999999999,30.138,-5.075,0.03652460603203342,1.14214,-1.4227100000000001,0.8,0.01695,1,5.7,5.7,6.0,6.0,6.0,6.0,6.0,6.0,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.21600000000000005
5,20040106,3.74,-8.339,79.53083333333333,4.4,97.895,41.43600000000001,6.037916666669999,0.31146969697865645,-6.53894,-2.68198,0.8,0.017462500000000002,1,8.600000000000001,10.1,10.2,10.4,10.4,10.4,10.4,10.4,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.26899999999999996
6,20040108,2.024,0.8859999999999999,80.35604166666666,0.0,97.20700000000001,47.972,-25.7133333333,0.1448164065547247,-10.0396,-0.206354,0.8,0.0184875,1,7.5,11.9,17.6,17.700000000000006,17.9,17.9,17.9,17.9,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.33399999999999996
7,20040109,2.755,0.759,85.22604166666667,3.6,96.171,10.289000000000001,-6.582083333330001,0.21225954353387802,-6.05588,-0.43,0.8,0.019,1,3.6,11.1,19.7,21.2,21.5,21.5,21.5,21.5,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.325
8,20040110,3.091,1.68,94.97291666666666,2.3,96.655,6.14,3.37104166667,0.19832357646081453,-12.0989,-0.813438,0.8125,0.0183375,1,5.9,5.9,17.8,23.5,23.8,23.8,23.8,23.8,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.28800000000000003
9,20040112,2.971,3.3080000000000003,82.73895833333333,2.8,95.865,40.589,4.966875,0.4741675578748144,-13.5715,-2.15125,0.8375,0.0170125,1,8.399999999999999,10.7,14.3,26.2,31.899999999999995,32.2,32.2,32.2,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.306
10,20040113,3.511,3.503,89.53583333333336,2.7,94.99,9.247,-2.28395833333,0.3995305546452102,-19.8957,-0.3725,0.8500000000000001,0.01635,1,5.5,11.1,17.0,24.5,34.6,34.9,34.9,34.9,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.322
11,20040114,5.115,3.41,73.51770833333335,0.9,95.04700000000001,15.424000000000001,-13.905833333299999,1.0484491405677308,-26.629,-0.9226040000000001,0.8625,0.0156875,1,3.6,6.4,14.3,17.900000000000006,34.00000000000001,35.8,35.8,35.8,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.34400000000000003
12,20040115,3.39,1.084,92.63708333333334,7.8,95.626,7.072,-1.95875,0.2716273185245901,-7.98255,-1.82771,0.875,0.015025,1,8.7,11.4,19.8,25.7,37.6,43.6,43.6,43.6,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.28800000000000003
13,20040116,4.007,2.07,78.685625,0.1,95.59899999999999,15.241,-25.444791666700002,0.5186540098828337,-33.6431,-1.615,0.8875000000000001,0.0143625,1,7.899999999999999,8.799999999999997,14.3,22.2,33.3,43.5,43.7,43.7,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.332
14,20040117,3.0639999999999996,3.063,73.74916666666667,0.0,95.479,23.70300000000001,-16.056875,0.4573125494252674,-22.4947,-1.08104,0.9,0.0137,1,0.1,7.899999999999999,11.5,19.9,25.8,43.4,43.7,43.7,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.32
15,20040118,1.702,-1.531,92.29416666666668,2.1,97.176,9.594,-5.474791666669999,0.10877904100523347,0.9788389999999999,-2.14312,0.9,0.0139,1,2.1,2.2,10.9,16.400000000000002,27.9,45.50000000000001,45.8,45.8,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.325
16,20040119,4.195,-2.293,84.27374999999998,8.8,96.779,16.593,-1.56354166667,0.4282696827812788,-11.061,-2.14562,0.9,0.0141,1,10.9,10.9,18.8,22.4,33.099999999999994,52.8,54.6,54.6,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.32
17,20040120,3.9219999999999997,-1.8880000000000001,96.148125,2.6,96.103,5.026,-2.881875,0.10015602154888728,-1.27272,-2.55938,0.9,0.0143,1,11.4,13.5,13.6,22.3,33.4,51.2,57.2,57.2,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.304
18,20040121,2.552,-4.13,94.295,1.9,97.27799999999999,8.06,-3.85770833333,0.01565118393859625,-0.363735,-2.70667,0.9,0.0145,1,4.5,13.3,15.4,23.3,29.7,48.7,58.9,59.1,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.319
19,20040122,1.045,-9.613999999999999,87.22083333333335,0.0,97.779,53.107,-0.316041666667,0.033796201704340126,3.2398599999999997,-1.88188,0.9,0.0147,1,1.9,4.5,15.4,15.5,26.9,41.2,58.8,59.1,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.315
20,20040124,0.629,-11.225,82.80229166666666,0.0,97.376,93.77,0.67,0.06986538626513679,-0.742977,-1.98615,0.9,0.0151,1,0.0,0.0,4.5,15.4,23.3,37.6,57.3,59.1,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.311
21,20040125,1.9769999999999999,-2.164,94.568125,4.3,96.804,4.551,-3.64166666667,0.21446448012403105,3.1627,-1.94062,0.9,0.0153,1,4.3,4.3,6.1999999999999975,17.6,19.800000000000004,39.6,57.4,63.39999999999999,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.308
22,20040126,1.699,-1.618,88.80395833333334,0.2,96.509,57.055,-5.09333333333,0.014276230843453537,-3.3599699999999997,-2.14708,0.9125,0.016275,1,4.5,4.5,4.5,9.0,19.9,34.2,53.2,63.6,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.308
23,20040127,1.255,-4.796,90.01729166666668,0.0,95.785,12.299000000000001,-3.86041666667,0.008777660697650777,0.653899,-1.51094,0.925,0.01725,1,0.2,4.5,4.5,6.4,19.9,31.4,45.7,63.6,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.308
24,20040128,1.972,-4.003,84.794375,0.0,95.634,44.26300000000001,-14.946041666700001,0.004477088866178714,-3.8549900000000004,-1.835,0.9375,0.018225,1,0.0,0.2,4.5,4.5,17.8,28.70000000000001,45.7,63.6,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.308
25,20040129,3.3739999999999997,-2.523,82.05499999999998,0.6,95.536,31.761999999999997,-20.3683333333,0.0596764783603518,-8.879560000000003,-2.05219,0.95,0.0192,1,0.6,0.6,5.1,5.1,9.6,28.4,42.7,64.19999999999999,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.308
26,20040130,4.659,-1.321,85.48125,6.4,96.62799999999999,17.653,-10.5577083333,0.17337292529866508,-8.71017,-2.2114599999999998,0.9625,0.020175,1,7.0,7.0,7.2,11.5,13.4,27.000000000000004,46.8,70.6,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.307
27,20040131,4.487,2.984,61.42791666666667,0.5,96.794,53.45399999999999,-6.782291666669999,0.6682139770812147,-54.8414,-2.7025,0.975,0.02115,1,6.9,7.5,7.5,12.0,12.0,27.4,41.7,70.9,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.306
28,20040202,3.9419999999999997,7.528,83.98520833333333,10.7,97.471,12.189,-2.20708333333,0.7181393047464524,-34.609,5.5378099999999995,1.0,0.0231,2,12.2,12.7,19.700000000000006,19.700000000000006,24.20000000000001,37.5,48.4,83.0,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.32
29,20040203,3.5389999999999997,9.221,88.33437500000002,3.8,98.208,27.303,14.5664583333,0.9581710599862384,-33.4261,7.1025,1.0,0.0225125,2,14.5,16.0,22.9,23.5,28.0,32.5,51.3,85.3,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.34500000000000003
30,20040204,5.037,12.475999999999999,61.0625,0.0,98.154,39.876,11.462708333299998,2.9766836072403664,-67.9963,6.00833,1.0,0.021925,2,3.8,14.5,16.5,23.5,23.7,29.9,43.5,81.1,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.33
31,20040205,5.229,12.075999999999999,62.47958333333333,0.0,97.757,16.392,-4.9545833333300004,1.5961336061374751,-47.6507,3.9957300000000004,1.0,0.0213375,2,0.0,3.8,16.0,22.9,23.5,28.0,43.4,76.69999999999997,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.321
32,20040206,4.3069999999999995,12.097000000000001,60.371875,0.0,97.381,39.035,8.860625,1.2559049992718294,-35.9368,3.7405199999999996,1.0,0.02075,2,0.0,0.0,14.5,16.5,23.5,28.0,43.4,69.19999999999999,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.32799999999999996
33,20040207,6.0520000000000005,8.002,63.60604166666667,3.3,96.48700000000001,51.115,8.370425531910001,1.308601861627714,-10.3114,-2.56563,1.0,0.0201625,2,3.3,3.3,7.1,19.3,26.8,31.3,44.6,72.49999999999999,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.324
34,20040208,5.276,2.056,77.98854166666669,7.1,96.152,22.441,-14.440625,1.0659311616359708,-25.2209,-6.67583,1.0,0.019575,2,10.4,10.4,10.4,24.9,33.3,38.4,42.9,75.99999999999999,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.32
35,20040209,5.728,-0.716,87.56895833333334,10.0,97.20700000000001,32.347,-7.32,0.4242988794981608,-8.736260000000001,-5.3826,1.0,0.0189875,2,17.1,20.4,20.4,24.20000000000001,36.90000000000001,44.10000000000001,50.3,83.7,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.32899999999999996
36,20040210,3.4810000000000003,-0.512,87.20875,2.7,98.083,23.428,-7.59375,0.3769633990132406,-4.77309,-5.96594,1.0,0.0184,2,12.7,19.8,23.1,23.1,39.1,46.6,51.1,80.79999999999998,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.32299999999999995
37,20040211,2.875,-1.466,94.90208333333334,6.5,97.508,8.791,-1.8825,0.3059095127482868,-2.79589,-5.58271,1.0,0.0186375,2,9.2,19.2,29.6,29.6,44.1,53.1,57.6,84.49999999999999,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.331
38,20040213,3.1910000000000003,0.9359999999999999,95.868125,2.0,98.31,18.805,7.455,0.28950576977568354,-9.3869,-3.9942699999999998,1.0,0.0191125,2,2.0,8.5,21.2,31.6,31.6,54.49999999999999,59.6,82.89999999999998,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.281
39,20040214,2.3609999999999998,2.573,95.50708333333334,0.2,97.91799999999999,17.928,10.205,0.03313999809591555,-8.48424,-2.96656,1.0,0.019350000000000003,2,2.2,2.2,11.4,28.5,31.8,48.3,55.5,75.29999999999998,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.306
40,20040215,2.283,1.715,89.57875,0.0,97.74600000000001,33.534,11.9004166667,0.16763106593962598,-0.0578856,-0.371354,1.0,0.0195875,2,0.2,2.2,8.7,21.4,31.8,47.8,55.3,75.19999999999997,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.322
41,20040216,2.122,0.109,91.53458333333332,0.0,98.164,45.925,9.91375,0.2457922718070304,3.8180099999999997,-0.509688,1.0,0.019825,2,0.0,0.2,2.2,11.4,31.8,46.3,55.3,75.19999999999997,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.316
42,20040217,2.126,-1.304,93.144375,0.0,98.00399999999999,51.536,25.0079166667,0.2544569239862237,5.4649199999999984,-2.98844,1.0,0.0200625,2,0.0,0.0,2.2,8.7,28.5,35.6,55.3,73.1,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.325
43,20040218,2.542,-0.065,94.11958333333332,1.2,97.412,19.938,2.418125,0.1966508711733183,-2.64173,-1.04229,1.0,0.0203,2,1.2,1.2,1.4,3.4,22.6,33.0,55.9,65.5,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.327
44,20040219,2.517,-2.432,92.12895833333334,0.652,98.012,15.205,-0.604791666667,0.1342632895524584,0.77998,-1.42781,1.0125,0.0198375,2,1.852,1.8519999999999999,1.852,4.052,13.252,33.651999999999994,50.152,63.55199999999999,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.321
45,20040220,3.8689999999999998,-1.829,63.410833333333336,0.046,98.501,126.354,-4.51729166667,0.5572745141780628,-5.34467,-0.869167,1.025,0.019375,2,0.6980000000000001,1.8980000000000001,1.898,2.0980000000000003,10.597999999999999,33.698,49.69799999999999,61.69799999999999,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.306
46,20040221,2.0909999999999997,-0.345,53.80833333333334,0.0,97.57600000000001,115.18799999999999,13.4475,0.4645072782495757,4.88505,-1.9851,1.0375,0.0189125,2,0.046,0.6980000000000001,1.898,1.8980000000000001,4.098000000000001,33.698,48.19799999999999,61.69799999999999,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.29600000000000004
47,20040222,2.633,1.06,63.76916666666667,0.51,96.242,29.204,9.829375,0.39798161977007457,0.07862310000000003,0.041666699999999994,1.05,0.01845,2,0.51,0.556,2.4080000000000004,2.4080000000000004,4.6080000000000005,30.908,38.008,62.208,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.307
48,20040223,2.8289999999999997,-1.9140000000000001,85.27416666666666,0.11800000000000001,96.583,18.549,0.0979166666667,0.2350963682225585,5.3693300000000015,-0.0955208,1.0625,0.0179875,2,0.628,0.628,1.3259999999999998,2.526,2.7260000000000004,23.926,34.32599999999999,62.32599999999999,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.306
49,20040224,2.286,-2.197,66.08,0.0,96.962,110.564,18.47375,0.4637762113132301,5.499709999999999,-1.6851,1.075,0.017525000000000002,2,0.11800000000000001,0.628,0.674,2.526,2.526,13.925999999999998,34.32599999999999,58.026,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.235
50,20040225,3.0010000000000003,-1.4240000000000002,75.43833333333333,0.0,96.241,39.584,-15.472083333299999,0.3334737304706038,-1.4867,-3.76479,1.0875,0.0170625,2,0.0,0.11800000000000001,0.628,1.3259999999999998,2.526,11.225999999999999,34.32599999999999,57.82599999999999,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.308
51,20040226,1.569,-2.153,78.09458333333333,0.2,95.854,68.477,6.433125,0.3116835968647209,6.1058,-4.41656,1.1,0.0166,2,0.2,0.2,0.8280000000000001,0.8740000000000001,2.7260000000000004,4.926,34.526,58.026,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.308
52,20040227,1.062,-4.4110000000000005,86.83916666666669,0.0,95.601,53.4,9.03583333333,0.20358731677572567,6.26693,-7.47135,1.1,0.01745,2,0.2,0.2,0.318,0.8280000000000001,2.7260000000000004,4.926,31.226,58.026,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.293
53,20040228,0.758,-3.536,80.32770833333333,0.0,96.061,109.193,42.8625,0.4155285670555732,15.0026,-4.521669999999999,1.1,0.0183,2,0.0,0.2,0.2,0.8280000000000001,1.5260000000000002,2.926,24.125999999999998,57.426,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.308
54,20040229,1.6780000000000002,-5.4460000000000015,92.90479166666668,0.0,96.166,24.305999999999997,5.527708333330001,0.15010226044893615,8.65029,-7.080939999999999,1.1,0.01915,2,0.0,0.0,0.2,0.318,0.8740000000000001,2.7260000000000004,14.126,51.026,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.28700000000000003
55,20040301,3.136,-2.932,85.2825,3.1,97.902,62.729,14.3983333333,0.2546025949217217,2.9603,-0.33625,1.1,0.02,3,3.1,3.1,3.3000000000000003,3.3000000000000003,3.928,5.8260000000000005,14.526,53.62599999999999,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.27399999999999997
56,20040302,4.0089999999999995,0.084,95.24270833333333,4.3,97.844,21.145,4.733125,0.14542485407197947,-4.173369999999999,1.2222899999999999,1.1,0.02085,3,7.4,7.4,7.4,7.6,8.228000000000002,10.126,12.326,56.42599999999999,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.27399999999999997
57,20040303,4.066,-0.303,95.97166666666664,6.7,98.00299999999999,13.505,-2.27770833333,0.1675961981976449,-3.0581,0.972917,1.1,0.0217,3,11.0,14.1,14.1,14.3,14.418,16.825999999999997,19.026,52.426,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.299
58,20040304,0.775,-5.399,85.64333333333333,0.0,98.303,77.61399999999998,8.47604166667,0.15504130115030484,3.1726799999999997,-2.7427099999999998,1.1,0.02255,3,6.7,11.0,14.1,14.1,14.3,15.625999999999998,17.025999999999996,48.62600000000001,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.324
59,20040305,1.704,-3.912,77.29979166666669,0.0,98.189,157.11,12.0172916667,0.1899733573662322,-1.55467,-3.04635,1.1,0.0234,3,0.0,6.7,14.1,14.1,14.3,14.973999999999998,16.825999999999997,48.62600000000001,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.316
60,20040306,2.526,-3.602,66.58458333333333,0.3,97.555,94.84700000000001,0.306041666667,0.4182959345454912,-5.26618,-4.73187,1.1125,0.026825,3,0.3,0.3,11.3,14.4,14.6,15.228,17.125999999999998,48.926,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.315
61,20040307,1.859,-0.652,76.454375,0.0,97.626,83.49799999999998,1.06291666667,0.2455853566733816,-3.46849,-0.547917,1.125,0.030250000000000006,3,0.3,0.3,7.0,14.4,14.4,15.228,17.125999999999998,48.926,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.308
62,20040308,1.245,-2.987,83.356875,0.0,98.103,60.801,-0.551458333333,0.1290910320228058,0.522329,-2.58542,1.1375,0.033675000000000004,3,0.0,0.3,0.3,11.3,14.4,14.718,17.125999999999998,45.62600000000001,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.306
63,20040309,1.758,-2.582,89.75833333333333,5.2,98.176,59.04600000000001,8.766041666669999,0.2562537823917037,4.12195,-1.18823,1.15,0.0371,3,5.2,5.2,5.5,12.2,19.6,19.8,21.125999999999998,43.726000000000006,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.3
64,20040310,2.057,-0.28600000000000003,94.1675,1.7,97.96799999999999,40.168,7.016666666669999,0.11084464771235504,2.7315,1.0769799999999998,1.1625,0.040525,3,6.9,6.9,7.2,7.2,21.3,21.5,22.174,35.426,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.313
65,20040311,2.853,1.151,79.78375,0.0,97.835,121.309,8.7175,0.43408414604779183,-12.1526,1.00406,1.175,0.04395,3,1.7,6.9,6.9,7.2,18.2,21.5,22.128,32.726,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.316
66,20040312,3.253,3.199,69.30166666666668,0.0,97.681,150.678,21.495416666700002,0.5673398723987096,-18.2175,0.00729167,1.1875,0.047375,3,0.0,1.7,6.9,7.2,13.9,21.3,22.128,26.226,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.306
67,20040313,2.705,4.376,70.07875,0.0,97.65700000000001,112.885,44.5704166667,0.365446660467724,-36.0539,-0.166979,1.2000000000000002,0.050800000000000005,3,0.0,0.0,6.9,6.9,7.2,21.3,21.618000000000002,26.226,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.317
68,20040314,1.964,5.327000000000001,78.75229166666666,1.4,98.27,105.118,60.6070833333,1.2004176885253823,-9.3111,8.28604,1.2125,0.049675,3,1.4,1.4,3.1,8.3,8.600000000000001,22.70000000000001,22.9,25.626,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.318
69,20040315,2.7,7.62,73.29770833333333,0.0,98.55,115.553,70.5164583333,2.0253347884312785,-14.6362,13.1914,1.225,0.04855,3,1.4,1.4,1.4,8.3,8.600000000000001,22.70000000000001,22.9,25.426,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.29600000000000004
70,20040316,2.407,8.607999999999999,80.40875,0.0,98.631,112.227,73.195,1.605881699325065,1.54688,7.13042,1.2375,0.047425,3,0.0,1.4,1.4,3.1,8.3,19.6,22.9,25.426,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.316
71,20040317,1.4269999999999998,9.705,73.90854166666666,0.0,98.471,170.505,99.4766666667,2.2523549432788457,29.1447,5.75927,1.25,0.0463,3,0.0,0.0,1.4,1.4,8.3,15.3,22.70000000000001,25.426,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.311
72,20040318,1.0090000000000001,10.589,73.00166666666667,0.0,98.021,123.61200000000001,63.834375,1.521606613221175,11.2195,7.0846899999999975,1.2625000000000002,0.045175,3,0.0,0.0,1.4,1.4,8.3,8.600000000000001,22.70000000000001,25.426,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.316
73,20040319,3.5580000000000003,12.919,56.77104166666667,0.0,97.365,115.38799999999999,60.943958333299996,2.6039325135268565,-22.6332,7.30542,1.275,0.04405,3,0.0,0.0,0.0,1.4,3.1,8.600000000000001,22.70000000000001,24.22600000000001,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.309
74,20040320,5.355,9.868,78.35958333333333,5.5,96.561,64.93,39.4208333333,2.827497381463952,-52.7777,5.9375,1.2875,0.042925000000000005,3,5.5,5.5,5.5,6.9,6.9,14.1,28.20000000000001,29.074,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.302
75,20040321,5.732,8.54,67.67020833333333,6.4,95.986,85.89299999999999,42.59875,3.463926294163444,-30.0251,0.286354,1.3,0.0418,3,11.9,11.9,11.9,11.9,13.3,20.2,31.5,35.42800000000001,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.32
76,20040322,4.044,5.817,67.44958333333334,0.9,96.432,133.42600000000002,71.1322916667,2.471018728313585,28.0141,-0.9913540000000001,1.3375,0.044125,3,7.300000000000002,12.8,12.8,12.8,14.2,21.1,28.1,36.328,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.321
77,20040323,1.2990000000000002,3.263,79.61041666666667,0.3,96.866,94.281,61.6789583333,1.33892149399148,16.437,-1.6635400000000002,1.375,0.046450000000000005,3,1.2,7.6,13.1,13.1,14.500000000000002,21.4,21.70000000000001,36.11800000000001,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.326
78,20040324,3.458,2.577,92.09875,15.8,96.60600000000001,16.868,8.99895833333,0.6625648192030538,3.09069,-1.92344,1.4125,0.048775,3,16.1,17.0,28.9,28.9,28.9,32.0,37.49999999999999,51.8,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.318
79,20040325,3.641,-0.11599999999999999,84.09770833333333,0.0,96.927,33.534,18.61125,1.098735110297391,18.029,-3.10906,1.4500000000000002,0.0511,3,15.8,16.1,23.4,28.9,28.9,30.3,37.49999999999999,51.8,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.337
80,20040326,2.116,-1.4040000000000001,87.48291666666665,1.4,97.23700000000001,70.779,39.85125,0.9638051830118528,26.4761,-0.325521,1.4875,0.053425,3,1.4,17.2,18.4,30.3,30.3,31.7,38.6,53.2,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.298
81,20040327,0.6509999999999999,-1.55,84.5725,0.0,97.32600000000001,84.595,33.8714583333,0.8115653738396799,16.6126,0.128125,1.525,0.05575,3,1.4,1.4,17.5,24.8,30.3,31.7,38.6,53.0,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.308
82,20040328,1.433,0.802,78.28,0.0,97.484,118.641,74.4777083333,1.2755252967810415,30.4261,1.36958,1.5625,0.058075,3,0.0,1.4,17.2,18.4,30.3,31.7,38.6,53.0,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.295
83,20040329,1.318,3.159,72.02020833333334,0.0,97.821,200.13,116.60854166700001,2.151690071110035,47.7075,0.981042,1.6,0.0604,3,0.0,0.0,1.4,17.5,30.3,30.3,33.4,53.0,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.311
84,20040330,2.5269999999999997,5.3660000000000005,66.51479166666667,0.0,97.912,207.549,117.07583333299999,2.243028904259041,42.5904,0.06322919999999999,1.65,0.06168750000000001,3,0.0,0.0,1.4,17.2,24.8,30.3,31.7,53.0,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.322
85,20040331,2.569,5.7989999999999995,63.91041666666666,0.0,97.4,212.02700000000002,110.40875,2.1388640946951103,51.6503,-0.55125,1.7000000000000002,0.062975,3,0.0,0.0,0.0,1.4,18.4,30.3,31.7,49.9,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.299
86,20040401,2.2030000000000003,6.396,71.69666666666667,0.0,97.35,140.991,79.391875,1.672755076512969,18.674,1.33969,1.75,0.0642625,4,0.0,0.0,0.0,1.4,17.5,30.3,31.7,45.6,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.314
87,20040402,3.6910000000000003,10.600999999999999,55.139375,0.0,97.446,202.43200000000002,102.10875,2.5241832778481887,26.068,3.7369800000000004,1.8,0.06555,4,0.0,0.0,0.0,0.0,17.2,30.3,31.7,38.9,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.307
88,20040403,1.92,10.402000000000001,65.16270833333334,0.0,97.601,157.366,80.4108333333,1.904917308450694,19.012999999999998,5.94948,1.85,0.06683750000000001,4,0.0,0.0,0.0,0.0,1.4,30.3,30.3,38.9,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.308
89,20040404,2.804,9.459,68.170625,0.1,97.56,131.032,73.86875,2.059644915833407,4.92654,2.9776,1.9,0.068125,4,0.1,0.1,0.1,0.1,1.5,24.9,30.4,39.0,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.281
90,20040405,2.573,6.5070000000000014,76.77749999999997,3.9,96.854,139.219,83.315625,2.331283237706312,26.3258,0.15093800000000002,1.95,0.0694125,4,4.0,4.0,4.0,4.0,4.0,22.4,34.300000000000004,42.60000000000001,385,1,14,36,49,0,0,0,0,0,0,0,0,0,0,0.28800000000000003
