,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000226,1.443,-1.693,79.25347083,0.0,84.634,161.366,83.39625,1.1416682076268148,25.689,-0.612394,0.30000000000000004,-0.0132,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.26
1,20000227,1.628,-0.733,49.68617917,0.0,84.665,171.851,64.779375,1.0680189387277812,36.7768,-0.616346,0.28750000000000003,-0.0138125,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.261
2,20000228,3.332,0.157,35.24202292,0.0,84.43799999999997,168.49200000000005,48.04770833,1.877004869896816,7.13243,-0.6061439999999999,0.275,-0.014425,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.259
3,20000229,3.484,-0.8809999999999999,63.54055208,0.0,83.831,112.806,40.40125,1.0188798597676805,41.8136,-0.605881,0.2625,-0.0150375,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.253
4,20000301,3.748,-1.881,83.7041,2.19,82.613,78.755,42.96375,0.21044971419504396,-1.6739,-0.604075,0.25,-0.01565,3,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.253
5,20000303,1.58,-2.635,57.87541458,0.0,83.568,141.138,64.216875,0.24035640730168856,55.6299,-0.5924229999999999,0.225,-0.016875,3,0.27,2.46,2.46,2.46,2.46,2.46,2.46,2.46,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.252
6,20000305,1.7080000000000002,-6.876,61.96409583,0.0,84.45200000000001,184.828,88.78723404,0.5986204199210068,98.3961,-0.561308,0.2,-0.0181,3,3.12,3.12,5.58,5.58,5.58,5.58,5.58,5.58,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.252
7,20000306,1.577,-2.152,40.99952083,0.0,84.62899999999998,191.412,84.385625,0.17749747211712374,52.7303,-0.569188,0.2125,-0.01815,3,0.0,3.12,3.39,5.58,5.58,5.58,5.58,5.58,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.252
8,20000307,1.38,-0.993,44.40993125,0.0,84.52799999999998,188.345,71.90375,0.14300736841164255,61.7737,-0.561944,0.225,-0.0182,3,0.0,0.0,3.12,5.58,5.58,5.58,5.58,5.58,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.245
9,20000308,1.264,-1.506,73.66818958,8.79,84.68700000000003,96.769,47.93083333,0.0406253404888881,27.2785,-0.560417,0.2375,-0.01825,3,8.79,8.79,11.91,12.18,14.37,14.37,14.37,14.37,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.244
10,20000309,1.501,2.119,87.29756875,13.92,84.60600000000002,99.083,55.93875,0.8911537443354659,-25.1826,-0.653529,0.25,-0.0183,3,22.71,22.71,22.71,25.83,28.29000000000001,28.29,28.29,28.29,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.259
11,20000310,2.854,0.645,88.22082708,4.74,84.412,49.216,28.88916667,0.4860345346765734,-61.7823,-0.643385,0.2625,-0.01835,3,18.66,27.45,27.45,30.57,33.03,33.03,33.03,33.03,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.266
12,20000311,2.826,1.884,69.96492917,0.0,84.044,175.299,81.93434783,1.0602487101242406,80.7457,-0.5951810000000001,0.275,-0.0184,3,4.74,18.66,27.45,27.45,30.84,33.03,33.03,33.03,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.276
13,20000312,1.5490000000000002,0.133,61.01424167,0.0,84.09200000000001,199.141,101.0147917,0.6054154692040191,90.4894,-0.57876,0.28750000000000003,-0.01845,3,0.0,4.74,27.45,27.45,30.57,33.03,33.03,33.03,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.292
14,20000313,1.779,0.184,46.88298125,0.0,84.241,202.1,86.49145833,0.42605396544530055,83.3639,-0.548773,0.30000000000000004,-0.018500000000000003,3,0.0,0.0,18.66,27.45,30.57,33.03,33.03,33.03,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.28300000000000003
15,20000314,1.058,-1.136,89.99999375,4.68,84.15299999999998,78.03399999999998,40.655,0.07802192160800653,15.5681,-0.5680270000000001,0.30000000000000004,-0.0187125,3,4.68,4.68,9.42,32.129999999999995,32.129999999999995,37.71,37.71,37.71,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.276
16,20000315,3.149,-3.919,90.49514167,4.26,84.06700000000002,142.49200000000005,-4.298125,0.4315510005441664,6.4241800000000016,-0.551656,0.30000000000000004,-0.018925,3,8.94,8.94,8.94,27.6,36.39,41.97,41.97,41.97,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.27399999999999997
17,20000316,1.102,-4.217,94.53194375,14.31,84.34299999999998,30.937,-0.981458333,0.05419977270147495,23.096,-0.6322479999999999,0.30000000000000004,-0.0191375,3,18.57,23.25,23.25,27.99,50.7,54.09,56.28,56.28,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.267
18,20000317,2.264,-2.378,94.28888542,5.1,84.109,80.512,31.49520833,0.0849570599616179,-20.1867,-0.572425,0.30000000000000004,-0.019350000000000003,3,19.41,23.67,28.35,28.35,55.8,58.92,61.38,61.38,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.267
19,20000318,2.491,-2.349,94.13264167,2.28,83.97200000000002,114.886,56.97520833,0.1829986075847028,-10.2402,-0.546396,0.30000000000000004,-0.0195625,3,7.379999999999999,21.69,30.629999999999995,30.629999999999995,49.29,61.2,63.66,63.66,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.266
20,20000319,2.468,-2.944,90.2525,0.09,84.12100000000002,171.729,109.93875,0.2393546382678028,55.0197,-0.506771,0.30000000000000004,-0.019775,3,2.37,7.469999999999999,26.04,30.72,35.46,58.17,63.75,63.75000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.26
21,20000320,1.6840000000000002,-3.422,75.1518,0.0,84.027,223.86,118.3466667,1.037501997420257,53.8414,-0.498315,0.30000000000000004,-0.0199875,3,0.09,2.37,21.78,30.72,30.72,58.17,63.75,63.75000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.26
22,20000321,2.094,-0.994,61.439375,0.0,83.911,227.281,116.5533333,0.22352873259293288,64.4362,-0.4990729999999999,0.30000000000000004,-0.020200000000000003,3,0.0,0.09,7.469999999999999,26.04,30.72,58.17,61.56,63.75000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.26
23,20000322,2.172,0.862,43.25547917,0.0,83.92399999999998,227.803,104.30625,0.8039592482026092,66.0761,-0.498465,0.3125,-0.020275,3,0.0,0.0,2.37,21.78,30.72,58.17,61.29,63.75000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.265
24,20000323,1.722,1.885,44.52694792,0.0,83.74,182.26,87.830625,0.6079357770749173,70.7653,-0.493923,0.325,-0.02035,3,0.0,0.0,0.09,7.469999999999999,30.72,49.38,61.29,63.75000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.266
25,20000324,2.334,1.6880000000000002,68.79826667,0.0,83.436,145.502,96.38,0.6981059258570989,114.383,-0.5071939999999999,0.3375,-0.020425,3,0.0,0.0,0.0,2.37,26.04,35.46,58.17,63.75000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.266
26,20000325,1.494,0.244,75.34972708,0.18,83.57600000000002,164.97799999999995,98.15583333,1.1171270128836044,115.493,-0.495658,0.35000000000000003,-0.0205,3,0.18,0.18,0.18,0.27,21.96,30.9,58.35,63.93000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.267
27,20000326,2.381,-2.0380000000000003,85.27771458,8.76,83.045,113.518,68.55270833,0.03373229655348356,24.1954,-0.49044,0.3625,-0.020575,3,8.94,8.94,8.94,8.94,16.409999999999997,39.66,67.11,72.69000000000003,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.271
28,20000327,2.435,-3.596,96.103475,5.7,82.45,64.67699999999999,-2.450416667,0.18946452671272013,11.6943,-0.547002,0.375,-0.02065,3,14.46,14.64,14.64,14.64,17.01,45.36,72.81,78.39,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.265
29,20000328,1.533,-3.156,88.28215208,0.78,82.69200000000002,218.32,124.7620833,1.1585101872728212,49.5698,-0.480692,0.3875,-0.020725,3,6.48,15.24,15.42,15.42,15.51,46.14,64.8,79.17,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.264
30,20000329,1.55,-1.696,92.14930208,8.73,82.429,95.014,56.71375,0.7662384996104185,-0.788042,-0.482408,0.4,-0.020800000000000003,3,9.51,15.21,24.15,24.15,24.15,50.19,59.61,87.89999999999998,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.264
31,20000330,2.441,-3.604,95.75556042,1.92,82.823,110.669,5.023541667,0.18663193562181005,22.7562,-0.498173,0.4125,-0.0209,3,10.65,11.43,25.89,26.07,26.07,47.85,56.79,89.82000000000002,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.264
32,20000331,1.005,-2.861,79.74201667,0.09,82.884,240.079,151.7366667,2.249105800273536,50.5257,-0.461937,0.425,-0.021,3,2.01,10.74,17.22,26.16,26.16,33.629999999999995,56.88,87.71999999999998,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.257
33,20000401,1.726,-2.526,89.46944375,1.05,82.566,106.708,53.65354167,0.4699654142606715,21.0055,-0.481979,0.4375,-0.0211,4,1.14,3.06,12.57,27.03,27.21,29.58,57.93,88.5,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.255
34,20000402,2.718,-1.36,58.01340625,0.0,82.72,219.688,97.75553191,2.6447053063426385,103.749,-0.439235,0.45,-0.0212,4,1.05,1.14,11.79,18.27,27.21,27.3,57.93,88.5,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.256
35,20000403,3.097,1.394,65.04473125,0.0,82.11,157.1,87.383125,1.2819693378636192,59.1396,-0.484442,0.4625,-0.0213,4,0.0,1.05,3.06,12.57,27.21,27.21,53.25,85.38,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.263
36,20000404,2.672,1.125,53.2675,0.0,81.959,181.373,85.55458333,1.1703992067540032,55.3782,-0.454383,0.475,-0.0214,4,0.0,0.0,1.14,11.79,27.03,27.21,48.99,85.38,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.264
37,20000405,1.602,-0.937,87.35583542,3.09,82.406,93.555,55.67166667,0.424127193992629,-8.12677,-0.466529,0.4875,-0.0215,4,3.09,3.09,4.14,6.15,21.36,30.3,37.77,88.47,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.266
38,20000406,3.056,-2.609,95.25625417,0.27,83.546,195.045,122.904375,0.21305729457549305,49.6156,-0.45745,0.5,-0.0216,4,3.36,3.36,3.36,4.5,15.93,30.57,32.94,88.74000000000002,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.266
39,20000407,1.943,-2.767,73.10007292,0.0,84.26,274.509,165.3139583,0.5675175436509686,94.4998,-0.424269,0.5125000000000001,-0.0212125,4,0.27,3.36,3.36,4.41,15.15,30.57,30.66,79.95,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.259
40,20000408,1.6869999999999998,-1.051,42.10027708,0.0,84.024,274.888,137.0160417,0.5038873288676573,174.34099999999995,-0.436656,0.525,-0.020825,4,0.0,0.27,3.36,3.36,6.42,30.57,30.57,66.03,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.259
41,20000409,2.346,-0.17800000000000002,47.90361458,0.0,83.20100000000002,173.628,92.66854167,1.0140646586732371,63.7529,-0.431544,0.5375,-0.0204375,4,0.0,0.0,3.36,3.36,4.5,30.39,30.57,61.29,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.266
42,20000410,1.94,-0.215,57.38424167,0.0,82.785,154.336,78.74666667,1.0008747857011784,31.1208,-0.425773,0.55,-0.02005,4,0.0,0.0,0.27,3.36,4.41,21.63,30.57,61.29,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.26
43,20000411,2.224,0.807,58.67749167,0.0,82.19,217.601,139.5722917,1.5046113058149548,163.111,-0.350188,0.5625,-0.0196625,4,0.0,0.0,0.0,3.36,3.36,15.93,30.57,61.29,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.257
44,20000415,3.178,0.211,76.882225,5.82,82.492,132.125,79.23458333,0.7904969375214186,-14.8869,-0.477517,0.6125,-0.018825,4,5.82,5.91,14.19,14.19,14.46,18.6,35.82,52.23,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.289
45,20000416,2.614,-0.257,68.018475,0.0,82.708,192.57,118.04875,2.849728103643741,10.8678,-0.415738,0.625,-0.01915,4,5.82,5.82,14.19,14.19,14.19,17.549999999999994,30.12,47.13,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.29100000000000004
46,20000417,3.44,1.04,84.69833125,14.67,82.557,111.997,79.95208333,0.5429475908888092,-10.482,-0.474346,0.6375000000000001,-0.019475,4,14.67,20.49,20.58,28.86,28.86,32.22,44.01000000000001,59.52000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.295
47,20000418,1.916,-1.5319999999999998,97.30555208,5.28,82.86,126.078,45.20291667,0.007786291688274619,14.6615,-0.44596,0.65,-0.0198,4,19.95,19.95,25.77,34.14,34.14,37.5,40.56,64.71000000000002,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.298
48,20000419,1.14,-0.153,87.78806042,0.39,83.24799999999998,140.08100000000002,97.300625,1.0257751854639996,2.8263700000000003,-0.402931,0.6625000000000001,-0.020125,4,5.67,20.34,26.16,26.25,34.53,37.89,39.03,65.10000000000002,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.29100000000000004
49,20000420,1.271,3.048,69.13750208,0.0,83.68299999999998,260.108,161.1233333,2.525348973961658,88.6663,-0.403196,0.675,-0.02045,4,0.39,5.67,20.34,26.16,34.53,34.800000000000004,38.94,65.10000000000002,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.306
50,20000421,1.4,5.354,48.41784375,0.0,84.04899999999998,285.11,163.6033333,1.8833713204068867,138.65,-0.44019,0.6875,-0.020775,4,0.0,0.39,20.34,26.16,34.53,34.53,37.89,65.10000000000002,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.322
51,20000422,1.584,6.0920000000000005,48.57062083,0.0,83.99,282.809,165.36833330000005,1.6608547710474295,118.031,-0.442183,0.7000000000000001,-0.0211,4,0.0,0.0,5.67,20.34,26.25,34.53,37.89,65.10000000000002,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.331
52,20000423,2.1790000000000003,6.8279999999999985,47.02701042,0.0,83.583,239.581,140.569375,1.9556844438869512,44.6798,-0.4295560000000001,0.7125,-0.019925,4,0.0,0.0,0.39,20.34,26.16,34.53,37.89,65.10000000000002,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.33399999999999996
53,20000424,2.366,0.063,93.8398625,8.28,83.29700000000003,156.879,96.068125,0.2315295398702392,14.674,-0.443998,0.7250000000000001,-0.01875,4,8.28,8.28,8.28,13.95,34.44,42.81,46.17,73.20000000000002,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.33299999999999996
54,20000425,1.811,3.553,65.97555417,0.0,83.575,297.271,182.161875,1.8815284870372924,90.0353,-0.438658,0.7375,-0.017575,4,8.28,8.28,8.28,8.67,28.62,42.81,43.08000000000001,64.44000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.33
55,20000426,1.6869999999999998,5.801,51.92104167,0.0,83.69,281.803,161.03875,1.870033597524479,125.707,-0.47004,0.75,-0.0164,4,0.0,8.28,8.28,8.28,28.62,42.81,42.81,58.74000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.34
56,20000427,2.639,6.0820000000000025,51.34423542,0.0,83.631,175.076,93.0,3.2981485417806926,17.2993,-0.4763770000000001,0.7625000000000001,-0.015225,4,0.0,0.0,8.28,8.28,13.95,34.53,42.81,57.96000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.33399999999999996
57,20000428,2.297,6.437,47.22284375,0.0,83.344,231.432,140.46604169999998,2.972862249959232,66.1937,-0.479933,0.775,-0.01405,4,0.0,0.0,8.28,8.28,8.67,34.44,42.81,49.23,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.34
58,20000429,1.3630000000000002,5.376,62.93228542,0.0,83.695,268.033,181.8914583,2.2498135779095096,118.78,-0.468056,0.7875000000000001,-0.012875,4,0.0,0.0,0.0,8.28,8.28,34.44,42.81,47.31,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.335
59,20000430,1.266,5.3020000000000005,65.74736042,0.0,84.12200000000001,202.575,127.48645829999998,1.536286438380084,72.6887,-0.489185,0.8,-0.0117,4,0.0,0.0,0.0,8.28,8.28,28.62,42.81,47.22,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.34
60,20000501,1.499,5.62,73.31631667,4.68,83.93799999999997,252.91,174.9872917,1.7286632147289036,73.993,-0.493742,0.8125,-0.011575,5,4.68,4.68,4.68,4.68,12.96,33.3,47.49,50.85000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.34
61,20000502,1.509,5.48,72.90979375,0.09,83.93,228.302,150.79958330000005,1.9851265076121047,45.9788,-0.468244,0.8250000000000001,-0.01145,5,4.77,4.77,4.77,4.77,13.05,18.72,39.3,50.94000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.34
62,20000503,1.273,6.382999999999999,62.66013333,0.0,84.081,196.12,118.90645829999998,2.0677156329832957,59.6712,-0.437075,0.8375,-0.011325,5,0.09,4.77,4.77,4.77,13.05,13.44,39.21,50.94000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.33399999999999996
63,20000504,1.423,5.334,70.9466,0.09,84.04,167.53599999999997,107.75208329999998,1.9031590630191528,46.4219,-0.457554,0.8500000000000001,-0.0112,5,0.09,0.18,4.8599999999999985,4.859999999999999,4.8599999999999985,13.14,39.3,51.03,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.34
64,20000505,1.638,5.849,66.57285,0.0,83.831,215.211,146.971875,2.520863446724296,82.2304,0.7940020000000001,0.8625,-0.011075,5,0.09,0.09,4.8599999999999985,4.859999999999999,4.8599999999999985,13.14,33.48,47.94000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.33399999999999996
65,20000506,1.878,5.101,73.52320208,0.18,83.822,156.614,93.88041667,2.5064574928079315,21.6898,6.9291,0.875,-0.01095,5,0.18,0.27,0.36,5.04,5.04,13.32,33.660000000000004,47.85000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.33399999999999996
66,20000507,1.533,6.303,61.91444583,0.0,83.99700000000001,230.293,141.43125,2.4705647230379446,56.7899,7.02146,0.8875000000000001,-0.010825,5,0.18,0.18,0.27,5.04,5.04,13.32,18.99,47.85000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.32799999999999996
67,20000508,1.466,6.002999999999999,69.99201042,0.21,84.11,201.1,116.5654167,2.4703620611133146,77.1472,5.81304,0.9,-0.0107,5,0.21,0.39,0.48,0.57,5.25,13.53,13.92,48.06,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.335
68,20000509,1.79,6.48,55.95417083,0.0,84.25299999999999,298.068,182.9477083,3.6953573681266967,76.3232,5.39502,0.925,-0.0021750000000000003,5,0.21,0.21,0.39,0.48,5.25,5.25,13.53,48.06,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.32799999999999996
69,20000510,2.049,9.474,56.12262708,0.0,84.15899999999998,269.808,171.41020830000005,4.924794513049365,143.834,7.358919999999999,0.95,0.006350000000000001,5,0.0,0.21,0.39,0.48,5.25,5.25,13.53,48.06,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.314
70,20000511,2.155,8.892000000000003,50.53958542,0.0,84.12799999999999,247.43400000000003,149.8929167,3.1517249510751824,103.94,6.32336,0.975,0.014875,5,0.0,0.0,0.21,0.39,0.57,5.25,13.53,48.06,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.305
71,20000512,2.241,5.931,79.77312292,6.42,84.137,150.072,98.09702128,0.5950092357890366,34.4872,4.27962,1.0,0.0234,5,6.42,6.42,6.63,6.81,6.9,11.669999999999998,19.95,46.2,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.312
72,20000513,1.277,5.277,88.83146042,0.36,84.274,105.02,70.45458333,2.213318482185709,2.44437,4.28785,1.025,0.031925,5,6.78,6.78,6.78,6.99,7.26,12.03,20.31,46.47,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.325
73,20000514,1.908,7.864,66.94375208,0.0,84.374,296.899,177.84625,2.4530813702369763,87.902,4.46081,1.05,0.04045,5,0.36,6.78,6.78,6.99,7.17,12.03,12.03,46.47,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.325
74,20000515,1.695,9.363,57.90722083,0.0,84.47200000000002,257.088,144.57375,1.9969905598359328,66.3378,5.11815,1.075,0.048975000000000005,5,0.0,0.36,6.78,6.78,7.17,12.03,12.03,40.65,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.308
75,20000516,1.713,10.174,53.46666875,0.0,84.31,240.532,147.37083330000004,3.9263882259728735,81.0255,6.0647400000000005,1.1,0.0575,5,0.0,0.0,6.78,6.78,6.99,7.35,12.03,40.65,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.29
76,20000517,2.353,9.165,57.50068958,0.0,83.925,219.228,134.4108333,3.221203295133504,78.4565,5.1772,1.1125,0.06555,5,0.0,0.0,0.36,6.78,6.99,7.26,12.03,25.98,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.29
77,20000518,3.252,4.788,96.46527292,18.39,83.325,172.56900000000005,130.2110417,0.7592839761907453,22.7048,2.09378,1.125,0.0736,5,18.39,18.39,18.39,25.17,25.17,25.65,30.42,39.09,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.321
78,20000519,2.262,1.817,74.71367917,4.17,83.19200000000002,261.087,186.8283333,3.5806393886371577,93.3898,-0.988985,1.1375,0.08165,5,22.56,22.56,22.56,22.92,29.340000000000003,29.730000000000004,34.59,42.87000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.337
79,20000520,2.353,0.591,71.25035208,3.78,83.331,224.77,150.6872917,2.0631091740507275,59.9024,-1.89872,1.15,0.0897,5,7.949999999999997,26.34,26.34,26.34,33.12,33.51,38.37000000000001,46.65000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.33
80,20000521,2.607,4.109,59.18291458,1.38,83.25299999999999,297.778,183.45875,3.0619371176363166,145.579,1.06204,1.1625,0.09775,5,5.16,9.33,27.72,27.72,34.5,34.71,35.07000000000001,48.03000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.316
81,20000522,2.944,1.736,76.31653333,4.5,83.678,266.784,179.986875,2.346580553320856,59.9693,0.898473,1.175,0.1058,5,5.88,9.66,32.22,32.22,32.58,39.21,39.48,52.53000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.332
82,20000523,2.506,4.628,62.46673125,0.0,84.084,329.59,202.4929167,2.9570293128133964,100.617,2.18358,1.1875,0.11385,5,4.5,5.88,13.83,32.22,32.22,39.0,39.48,52.53000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.315
83,20000524,1.57,7.419,61.63111458,0.0,84.05799999999998,219.081,129.618125,3.6391539814521976,106.889,5.46889,1.2000000000000002,0.1219,5,0.0,4.5,9.66,32.22,32.22,39.0,39.39,44.25000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.3
84,20000525,2.235,7.97,68.77354583,0.0,84.022,204.982,123.17020829999998,4.289754215359402,122.188,5.44874,1.225,0.1267375,5,0.0,0.0,5.88,13.83,32.22,39.0,39.39,44.25000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.293
85,20000526,2.809,8.394,73.54833125,0.0,84.015,117.827,72.58166667,2.01205485465054,2.06293,5.0299,1.25,0.131575,5,0.0,0.0,4.5,9.66,32.22,39.0,39.21,44.25000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.3
86,20000527,3.109,5.345,83.70590208,0.57,83.789,78.509,38.829375,0.1322413773937367,-4.09965,1.68477,1.275,0.13641250000000002,5,0.57,0.57,0.57,6.45,32.79,33.15,39.78,44.82000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.299
87,20000528,2.854,6.143,80.93145208,0.99,83.49700000000001,104.972,72.525625,1.933281886797808,-7.65601,3.1219,1.3,0.14125,5,1.56,1.56,1.56,6.0600000000000005,15.39,33.78,40.56,45.81000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.302
88,20000529,2.998,2.469,89.03895,8.55,83.615,192.398,136.4625,2.180960911280474,43.6035,0.178944,1.3250000000000002,0.1460875,5,9.54,10.11,10.11,10.11,19.770000000000003,42.33000000000001,49.11000000000001,54.36000000000002,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.34
89,20000530,1.769,2.589,82.39687292,0.9,83.77600000000002,135.35299999999998,80.55041667,1.2460258910582884,35.1206,0.559929,1.35,0.150925,5,9.45,10.44,11.010000000000002,11.010000000000002,16.89,43.23,50.01000000000001,55.26000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.32299999999999995
90,20000531,2.525,4.293,91.37153333,10.53,83.921,157.935,116.1508333,2.1979895226315835,-22.8699,2.50951,1.375,0.1557625,5,11.43,19.98,21.54,21.54,26.04,53.76,60.54,61.11000000000001,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.332
91,20000601,2.407,7.412000000000001,58.96138542,0.0,84.575,337.267,210.1627083,2.788795169204851,97.1597,2.61203,1.4,0.16060000000000002,6,10.53,11.43,20.97,21.54,21.54,53.76,54.12,61.02,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.322
92,20000602,2.311,12.159,52.2590875,0.0,84.581,332.656,207.5158333,2.485104266876341,161.709,6.46914,1.4125,0.16775,6,0.0,10.53,19.98,21.54,21.54,35.37,53.76,61.02,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.27
93,20000603,1.879,12.212,59.49333125,0.09,84.463,235.773,133.6070833,2.6312085745181912,51.7403,6.89502,1.425,0.1749,6,0.09,0.09,11.52,21.06,21.63,31.29,53.85,61.02,1639,0,16,52,30,0,0,0,0,0,1,0,0,0,0,0.28400000000000003
