,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20070101,1.177,-7.965,92.54666666666668,0.0,93.936,0.113,1.00158333333,0.01662247008046701,3.01741,-1.4626,0.0,0.0134,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.265
1,20070102,1.024,-4.931,95.55520833333333,0.5,94.061,0.209,-0.234604166667,0.004938108059323185,0.8992190000000001,-1.6665,0.0,0.01335,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.265
2,20070103,0.609,-6.388,94.66583333333332,1.1,94.677,0.27,0.164208333333,0.011156558167293109,1.59223,-1.75279,0.0,0.0133,1,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.265
3,20070104,0.8079999999999999,-8.82,92.98958333333331,0.0,94.56299999999999,0.166,-0.1171875,0.02880116072674582,2.04186,-1.90369,0.0,0.01325,1,1.1,1.6,1.6,1.6,1.6,1.6,1.6,1.6,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.262
4,20070105,1.679,-7.381,93.44229166666666,0.0,94.374,0.341,1.2982916666700002,0.02825571028307579,2.7378,-2.26281,0.0,0.0132,1,0.0,1.1,1.6,1.6,1.6,1.6,1.6,1.6,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.261
5,20070106,0.828,-16.343,85.60833333333333,0.0,95.16,0.561,4.89777083333,0.009120021688299621,-0.151805,-2.87965,0.0,0.01315,1,0.0,0.0,1.6,1.6,1.6,1.6,1.6,1.6,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.261
6,20070107,1.865,-12.732000000000001,89.775625,0.0,95.292,0.28,-1.6004375,0.01103774219808462,0.28383400000000003,-6.1004,0.0,0.0131,1,0.0,0.0,1.1,1.6,1.6,1.6,1.6,1.6,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.258
7,20070109,3.685,-1.26,95.37083333333334,0.0,93.458,0.545,-23.7165833333,0.0110551187217892,1.9934,-3.20915,0.0,0.013000000000000001,1,1.3,1.3,1.3,2.4000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.262
8,20070111,1.896,-14.485,78.69520833333333,0.0,94.62700000000001,0.177,-35.3396458333,0.01505053259748846,2.42463,-1.67146,0.0,0.012825,1,0.0,0.0,1.3,1.3,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.259
9,20070113,1.632,-11.763,89.825625,0.0,93.943,0.444,-0.8758958333329999,0.008626163337743898,1.23187,-1.24519,0.0,0.01265,1,0.0,0.0,0.0,1.3,1.3,2.9000000000000004,2.9000000000000004,2.9000000000000004,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.258
10,20070114,1.504,-15.186,85.06729166666666,0.0,94.586,0.9790000000000001,-1.37889583333,0.0010114049229878524,0.253817,-1.13258,0.0,0.0125625,1,0.0,0.0,0.0,1.3,1.3,2.9000000000000004,2.9000000000000004,2.9000000000000004,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.257
11,20070116,1.6840000000000002,-9.292,92.30729166666669,4.8,93.771,0.373,-1.1309166666700001,0.003820168994240828,0.482833,-1.22379,0.0,0.0123875,1,5.7,5.7,5.7,5.7,7.0,8.6,8.6,8.6,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.26
12,20070117,1.51,-10.552999999999999,91.181875,0.6,93.839,0.598,-0.1699375,0.004887208295730687,1.19436,-1.5071299999999999,0.0,0.0123,1,5.4,6.3,6.3,6.3,7.6,8.7,9.2,9.2,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.257
13,20070118,0.991,-7.435,92.96895833333332,2.0,94.197,0.209,-0.8255625,0.0033645924022041524,0.538767,-1.8052700000000002,0.0,0.012225,1,2.6,7.4,8.3,8.3,8.3,9.6,11.2,11.2,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.257
14,20070119,1.34,-12.360999999999999,87.18729166666668,0.0,94.818,1.079,1.5470625,0.0017408368291255102,0.328701,-1.94908,0.0,0.01215,1,2.0,2.6,8.3,8.3,8.3,9.6,11.2,11.2,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.254
15,20070121,0.887,-21.381,81.79,0.0,95.40899999999999,1.071,1.029625,3.656025256738421e-05,-0.05589580000000001,-2.01465,0.0,0.012,1,1.3,1.3,3.9,9.6,9.6,10.9,12.5,12.5,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.254
16,20070122,0.845,-26.16,76.99187500000002,0.0,96.119,1.228,3.75770833333,0.0005030997355502686,0.123673,-2.13767,0.0,0.011925,1,0.0,1.3,3.3,8.7,9.6,10.9,12.0,12.5,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.254
17,20070123,1.084,-21.691999999999997,80.84104166666667,0.1,96.256,1.276,1.1529166666700001,0.0005996842122640546,0.162434,-2.2999,0.0,0.01185,1,0.1,0.1,1.4,4.0,9.7,9.7,11.000000000000002,12.6,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.257
18,20070127,4.815,-9.734,82.09229166666667,4.9,94.664,2.536,-30.8983125,0.022273497506953416,-14.8753,0.0,0.025,0.011525,1,5.2,6.7,6.8,6.8,10.1,16.4,17.7,19.3,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.257
19,20070131,1.2830000000000001,-22.268,79.61645833333333,1.2,95.79299999999999,1.921,-1.667625,0.0032020873158292557,1.7405700000000002,-4.29729,0.07500000000000001,0.011175,1,1.3,2.9000000000000004,7.800000000000002,9.6,9.7,13.6,19.3,22.20000000000001,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.257
20,20070201,1.824,-13.585999999999999,85.66916666666668,0.7,96.488,1.611,-2.09875,0.006770710050326933,2.0395,-5.19808,0.08750000000000001,0.0110875,2,1.9,2.0,3.6,8.8,10.4,13.7,20.0,22.4,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.257
21,20070202,2.343,-11.205,87.71395833333334,0.0,95.229,1.778,-2.54939583333,0.010123195653877986,-0.322961,-5.34015,0.1,0.011000000000000001,2,0.7,1.9,3.6,8.5,10.3,11.7,20.0,21.3,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.257
22,20070213,0.63,-26.29300000000001,76.2504166666667,0.0,96.93,10.137,-10.04625,0.0018441337806003285,-0.0741841,-0.873792,0.0625,0.008225,2,0.0,0.0,0.0,0.0,0.3,2.3000000000000003,10.6,20.3,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.257
23,20070214,0.5670000000000001,-24.302,78.14270833333333,0.0,97.40700000000001,10.088,-7.4012083333300005,0.0002716209591434493,-0.0894061,-0.92275,0.05,0.0078,2,0.0,0.0,0.0,0.0,0.3,2.2,9.1,19.4,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.261
24,20070215,0.633,-22.764,79.27499999999998,0.2,97.961,13.667,0.902458333333,0.0012252121955620538,0.011479099999999999,-1.00062,0.037500000000000006,0.007375,2,0.2,0.2,0.2,0.2,0.5,1.2,9.0,14.8,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.262
25,20070218,1.249,-22.451,79.36270833333333,0.3,97.178,17.352,7.341416666669999,1.2962019202134453e-05,-1.9609400000000001,-1.5457299999999998,0.0,0.0061,2,1.6,2.0,2.2,2.2,2.2,2.5,4.5,14.2,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.258
26,20070219,1.53,-17.766,83.82437499999997,0.6,97.37700000000001,10.606,6.03241666667,0.0015306882434482202,0.787817,-1.6891,0.0125,0.007225,2,0.8999999999999999,2.2,2.8000000000000003,2.8000000000000003,2.8000000000000003,3.1,5.0,13.5,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.262
27,20070220,1.659,-20.213,80.62791666666669,0.1,98.603,16.53,4.17120833333,0.005085548859260562,5.80778,-1.7865400000000002,0.025,0.00835,2,0.7,1.0,2.7,2.9,2.9,3.2,3.9,13.6,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.262
28,20070223,2.8,-21.068,77.689375,0.0,98.69200000000001,9.686,-9.30422916667,0.0014077108497313315,2.98018,-2.07971,0.0625,0.011725,2,0.0,0.0,0.7,2.3,2.9,2.9,3.2,13.5,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.262
29,20070227,0.9159999999999999,-15.042,85.14479166666669,0.4,96.346,20.844,7.47385416667,0.005311574406295911,0.9105549999999999,-3.114,0.08750000000000001,0.014925,2,0.6000000000000001,1.7000000000000002,5.6,5.6,6.599999999999999,8.499999999999998,8.499999999999998,12.399999999999995,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.258
30,20070228,1.39,-13.255999999999998,85.55062500000003,1.2,95.744,9.11,-4.36789583333,0.009789273099215368,1.9191599999999998,-2.8044,0.07500000000000001,0.01475,2,1.6,1.8,6.8000000000000025,6.8000000000000025,7.5,9.7,9.7,11.999999999999998,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.258
31,20070303,4.0,-3.858,73.66229166666666,0.0,95.469,61.786,-51.4333125,0.00028627273468054314,0.312407,-2.4721,0.037500000000000006,0.014225000000000003,3,0.0,0.9,2.5,3.8,7.7,10.000000000000002,10.6,10.900000000000002,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.257
32,20070304,0.983,-14.355,82.28520833333333,0.0,97.61399999999999,48.26600000000001,-18.2020208333,8.152456647612698e-05,0.309164,-2.23283,0.025,0.01405,3,0.0,0.0,2.1,2.7,7.7,8.700000000000001,10.6,10.900000000000002,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.257
33,20070305,0.7040000000000001,-20.087,81.955625,0.0,98.109,54.03,-19.629625,0.0029535732286786447,0.698159,-2.0798099999999997,0.0125,0.013875,3,0.0,0.0,0.9,2.5,7.7,8.4,10.6,10.900000000000002,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.257
34,20070312,3.545,-0.095,81.73916666666666,0.0,96.195,83.478,-34.130625,0.1010350095870366,-19.3275,-1.6845400000000001,0.07500000000000001,0.01325,3,0.1,2.2,11.3,11.9,11.9,14.6,19.6,22.5,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.25
35,20070313,2.039,-3.114,92.72375,0.2,95.97,51.878,-6.5193125,0.020628033838889163,-9.33182,-0.9529790000000001,0.08750000000000001,0.013175,3,0.2,0.30000000000000004,8.3,12.1,12.1,14.6,19.8,22.7,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.25
36,20070314,2.395,0.371,82.27145833333333,0.0,95.65100000000001,91.65299999999999,-20.752020833299998,0.14407843673882856,-23.665,-0.808417,0.1,0.0131,3,0.2,0.2,2.4000000000000004,11.5,12.1,14.2,19.8,22.7,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.25
37,20070315,2.006,-1.5759999999999998,75.995625,0.2,95.89,97.165,-24.5575208333,0.023390167566926967,-25.4505,-1.3819,0.1,0.0132125,3,0.2,0.4,0.5,8.5,12.3,13.2,20.0,22.9,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.25
38,20070316,3.225,0.467,75.10000000000002,0.7,94.26899999999999,78.527,-29.9013958333,0.1526807526120734,-27.221999999999998,-1.32194,0.1,0.013325,3,0.8999999999999999,0.8999999999999999,1.1,3.3,12.999999999999998,12.999999999999998,16.799999999999994,23.6,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.25
39,20070319,1.925,-2.985,93.10479166666666,3.3,93.665,35.594,-6.62580851064,0.011435580941762618,-9.80221,-1.19371,0.1,0.0136625,3,3.3,3.3,4.2,4.4,6.6,16.3,18.4,25.0,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.25
40,20070321,1.854,-2.9219999999999997,72.22979166666666,0.0,96.791,110.501,-33.5073333333,0.20680890056413886,-31.3121,-1.13525,0.1,0.0138875,3,0.8,4.1,4.1,5.0,5.2,17.1,17.1,24.9,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.249
41,20070322,3.668,-2.085,73.25583333333333,0.0,97.167,97.436,-23.8738958333,0.1884729848675705,-26.5937,-1.0925,0.1,0.014,3,0.0,0.8,4.1,4.8,5.2,16.5,17.1,24.8,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.249
42,20070323,2.5669999999999997,1.568,58.29583333333333,0.0,98.68299999999999,113.022,-42.7678125,0.4820336456610639,-35.2507,-1.06562,0.1,0.013875,3,0.0,0.0,4.1,4.1,5.0,13.3,17.1,24.8,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.247
43,20070324,3.2030000000000003,3.535,52.91958333333334,0.0,98.95700000000001,119.698,-34.952875,0.5348492721839574,-37.7892,-1.04021,0.1,0.01375,3,0.0,0.0,0.8,4.1,5.0,7.4,17.1,24.8,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.247
44,20070325,1.46,3.7439999999999998,59.31520833333333,0.0,98.684,109.286,-21.8781666667,0.305721825343353,-30.7366,-1.0251,0.1,0.013625,3,0.0,0.0,0.0,4.1,4.8,5.3,17.1,24.8,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.247
45,20070326,2.1319999999999997,4.808,60.8725,0.0,98.56200000000001,128.881,-21.705604166700002,0.4893363070581904,-42.0201,-1.0094,0.1,0.0135,3,0.0,0.0,0.0,0.8,4.1,5.2,17.1,20.9,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.245
46,20070327,2.199,4.6530000000000005,50.79895833333334,0.0,98.125,136.76,-29.6194583333,0.6000683679741422,-44.2251,-0.980292,0.1,0.013375,3,0.0,0.0,0.0,0.0,4.1,5.2,16.5,19.8,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.247
47,20070328,2.092,3.031,56.04916666666667,0.0,97.755,133.864,-5.285,0.5538151979439899,-39.1738,-0.634938,0.1,0.01325,3,0.0,0.0,0.0,0.0,4.1,5.0,13.3,19.6,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.245
48,20070329,3.378,4.301,51.35520833333334,0.0,96.881,116.58200000000001,-5.9583125,0.7451693869093763,-41.8085,-0.470979,0.1,0.013125,3,0.0,0.0,0.0,0.0,0.8,5.0,7.4,19.2,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.245
49,20070330,2.909,-0.426,72.93333333333334,0.5,96.536,122.585,-11.2103958333,0.8524582964219067,-33.8356,-0.882375,0.1,0.013000000000000001,3,0.5,0.5,0.5,0.5,0.5,5.3,5.8,18.5,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.249
50,20070331,3.861,-1.625,64.88875,0.0,97.568,65.87,-15.050604166700001,0.4390788630115307,-36.9533,-0.8425,0.1,0.0132875,3,0.5,0.5,0.5,0.5,0.5,4.6,5.7,17.6,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.249
51,20070401,3.33,2.32,79.02916666666667,0.6,97.073,57.653999999999996,-16.0786041667,0.4786338721931467,-40.5756,-0.790708,0.1,0.013575,4,0.6,1.1,1.1,1.1,1.1,5.2,6.3000000000000025,18.200000000000006,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.24600000000000002
52,20070402,4.188,1.204,70.41333333333334,0.0,95.978,119.891,-20.2582916667,0.9583505576597084,-47.0662,-0.744604,0.1,0.0138625,4,0.6,0.6,1.1,1.1,1.1,5.2,6.1000000000000005,18.200000000000006,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.289
53,20070406,4.133,-4.817,59.05416666666667,0.0,94.45200000000001,150.996,-28.82775,0.7405877581529904,-38.8378,-0.605667,0.1,0.015012500000000003,4,0.2,2.8000000000000003,3.1,3.7,4.2,4.2,8.3,20.7,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.261
54,20070407,2.988,-6.172999999999999,69.3125,0.0,95.22399999999999,136.683,-26.3884166667,0.4698549509476346,-36.3019,-0.5835,0.1,0.0153,4,0.0,0.2,3.1,3.7,4.2,4.2,8.3,17.5,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.261
55,20070408,2.15,-6.279,66.28125,0.0,96.064,147.553,-27.3131666667,0.3722590112138218,-36.2588,-0.54275,0.1125,0.014525,4,0.0,0.0,2.8000000000000003,3.1,4.2,4.2,5.0,11.599999999999998,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.257
56,20070409,2.064,-6.646,67.36041666666667,0.0,96.194,177.37,-20.4891666667,0.7426258581026035,-37.451,-0.532562,0.125,0.01375,4,0.0,0.0,0.2,3.1,3.7,4.2,4.2,9.499999999999998,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.253
57,20070410,3.452,-4.523,68.01458333333333,2.5,95.509,152.465,-0.888208333333,1.0674809628575357,-36.4992,-0.530083,0.1375,0.012975,4,2.5,2.5,2.5,5.300000000000002,6.2,6.7,6.7,11.9,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.253
58,20070411,2.571,-1.06,92.65833333333336,4.7,94.087,78.032,-25.96075,0.4743086567170382,-28.2266,-0.541875,0.15000000000000002,0.0122,4,7.2,7.2,7.2,7.4,10.3,11.4,11.4,16.599999999999998,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.253
59,20070412,2.697,-0.006,69.4875,0.0,96.711,180.825,-20.0050571429,1.2016823808306178,-28.6827,-0.38418800000000003,0.1625,0.011425,4,4.7,7.2,7.2,7.2,10.3,11.4,11.4,16.4,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.253
60,20070421,3.123,-2.128,60.989375,0.0,97.13,226.847,0.653895833333,0.21245547462300213,-1.49716,-0.228542,0.275,0.009625,4,0.0,0.0,0.0,0.2,0.5,7.7,10.8,11.9,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.294
61,20070422,2.258,0.705,49.08604166666667,0.0,97.34100000000001,221.25799999999998,5.8616875,0.2069654080608234,-3.67728,-0.20333299999999999,0.28750000000000003,0.0097125,4,0.0,0.0,0.0,0.2,0.5,7.7,10.8,11.9,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.293
62,20070423,2.758,-0.7859999999999999,85.30499999999998,3.2,96.677,95.094,-27.5206875,0.17546895876569285,-1.90388,-0.15075,0.30000000000000004,0.0098,4,3.2,3.2,3.2,3.2,3.4000000000000004,10.9,13.7,15.1,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.28500000000000003
63,20070424,2.253,1.5030000000000001,65.40770833333333,0.0,97.319,217.178,-1.26252083333,0.1636539429386725,-2.52631,-0.049916699999999994,0.3125,0.0099,4,3.2,3.2,3.2,3.2,3.4000000000000004,10.9,11.1,15.1,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.28500000000000003
64,20070425,2.826,4.569,71.61562500000002,0.0,96.75299999999999,170.78599999999997,11.4206458333,0.1804261078084749,-2.85542,0.040625,0.325,0.01,4,0.0,3.2,3.2,3.2,3.4000000000000004,8.4,10.9,15.1,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.318
65,20070426,2.708,4.78,64.66645833333332,0.0,96.459,152.127,17.0512291667,0.23330073387752195,-4.75994,0.07379169999999999,0.3375,0.0101,4,0.0,0.0,3.2,3.2,3.2,3.7,10.9,15.1,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.33899999999999997
66,20070427,4.9910000000000005,2.293,69.68395833333334,0.55,96.459,134.27,-2.9263125,0.23911302969588386,-5.31208,0.068625,0.35000000000000003,0.0102,4,0.55,0.55,3.75,3.75,3.75,4.25,11.45,15.65,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.359
67,20070428,3.912,-0.875,60.90833333333333,0.0,98.09200000000001,170.65,8.1330625,0.512662874145896,-0.403048,0.0491458,0.3625,0.0103,4,0.55,0.55,0.55,3.75,3.75,3.95,11.45,15.65,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.331
68,20070429,5.152,-1.052,65.76291666666667,0.3,97.571,180.097,12.379416666700001,0.5913815455501489,2.6672599999999997,0.0310625,0.375,0.0104,4,0.3,0.8500000000000001,0.8500000000000001,4.050000000000002,4.050000000000002,4.250000000000001,11.75,15.45,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.318
69,20070430,1.35,-2.059,60.185,0.0,97.791,214.301,19.7773541667,0.4251773786689001,5.65037,0.0180625,0.3875,0.0105,4,0.3,0.3,0.8500000000000001,0.8500000000000001,4.050000000000002,4.250000000000001,9.25,15.45,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.31
70,20070501,3.0039999999999996,2.5780000000000003,68.19687499999999,0.5,96.95,135.664,25.8456875,0.313870659916078,-7.94195,0.0106875,0.4,0.0106,5,0.5,0.8,1.35,1.35,4.550000000000002,4.550000000000002,5.050000000000002,15.35,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.315
71,20070502,3.109,0.611,69.75104166666667,0.3,97.34700000000001,148.245,16.87575,0.4479704530295674,6.74379,0.00379167,0.4125,0.010075,5,0.8,0.8,1.1,1.65,4.8500000000000005,4.8500000000000005,5.3500000000000005,15.65,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.319
72,20070503,1.193,-0.187,76.58020833333335,0.65,97.18799999999999,121.087,9.419125,0.21012936670638774,3.3382699999999996,-0.00035416699999999996,0.425,0.00955,5,0.95,1.45,1.75,2.3,2.3,5.5,5.7,15.999999999999998,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.306
73,20070504,1.4240000000000002,-0.8690000000000001,63.519375,0.0,97.348,254.24400000000003,28.9812291667,0.4750540207970192,9.47408,-0.00179167,0.4375,0.009025,5,0.65,0.95,1.45,1.75,2.3,5.5,5.7,13.4,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.305
74,20070505,2.322,0.6659999999999999,72.47729166666666,0.15,96.79899999999999,153.875,14.6041875,0.3217199877051975,3.07592,0.0128542,0.45,0.0085,5,0.15,0.8,1.6,1.9,2.45,5.65,5.8500000000000005,13.35,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.297
75,20070506,1.255,2.707,68.07625,0.2,96.654,218.204,48.8295625,0.31525456000103885,4.14007,0.027104200000000002,0.4625,0.007975000000000001,5,0.35,0.35,1.3,1.8,2.6500000000000004,5.8500000000000005,5.8500000000000005,13.55,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.33
76,20070507,2.0709999999999997,0.754,93.63895833333332,10.4,95.789,54.492,2.5980625,0.04886578967553376,-0.27908499999999997,0.029833299999999997,0.475,0.00745,5,10.6,10.75,11.4,12.2,12.500000000000002,16.250000000000004,16.250000000000004,23.95000000000001,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.331
77,20070508,2.271,3.0269999999999997,96.133125,19.0,95.014,69.509,24.304000000000002,0.0719235756048614,-3.8269800000000003,0.0243333,0.4875,0.006925000000000001,5,29.4,29.6,29.75,30.7,31.5,32.05,35.25,42.95,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.3670000000000001
78,20070509,1.517,1.797,95.22229166666666,5.85,95.478,48.343,14.7247708333,0.045719549813401934,0.327947,0.0132708,0.5,0.0064,5,24.85,35.25,35.6,36.25,37.05,37.89999999999999,41.1,48.8,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.3670000000000001
79,20070510,1.8719999999999999,0.6779999999999999,88.95895833333334,1.5,95.791,109.595,-3.18893617021,0.2416059659850011,8.763710000000001,0.00333333,0.525,0.008025000000000001,5,7.35,26.35,36.95,37.1,38.55,39.39999999999999,42.6,47.8,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.35100000000000003
80,20070511,1.7630000000000001,-0.603,87.768125,0.6,95.947,94.01,-4.07875,0.2349131117291586,10.4491,-0.000229167,0.55,0.00965,5,2.1,7.9499999999999975,37.35,37.7,38.65,39.99999999999999,43.2,43.7,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.33399999999999996
81,20070512,1.5930000000000002,0.53,78.91333333333334,0.0,96.331,123.198,12.8033125,0.3780102154526521,14.0748,-0.0008125,0.5750000000000001,0.011275,5,0.6,2.1,26.95,37.55,38.35,39.45,43.2,43.7,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.322
82,20070513,1.3559999999999999,2.289,68.184375,0.0,96.81200000000001,223.50799999999998,60.3644375,0.9957122837758496,38.001,-0.0144375,0.6000000000000001,0.0129,5,0.0,0.6,7.949999999999997,37.35,37.7,39.45,39.99999999999999,43.4,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.322
83,20070514,1.785,3.67,84.015,6.7,96.75399999999999,94.781,35.5533125,0.3664809338056593,1.32256,-0.0476042,0.625,0.014525,5,6.7,6.7,8.8,33.65,44.4,45.85,46.69999999999999,50.1,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.34700000000000003
84,20070515,1.297,2.451,98.27395833333333,21.6,95.48200000000001,30.791999999999998,23.2704166667,0.01013376324532114,-3.9108699999999996,-0.0720833,0.65,0.01615,5,28.3,28.3,28.9,36.25,65.85000000000001,67.45000000000002,68.30000000000001,71.70000000000002,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.3670000000000001
85,20070516,1.2,2.895,92.92229166666668,6.45,94.734,129.73,79.1467291667,0.4552884328925363,20.801,-6.25e-05,0.675,0.017775,5,28.05,34.75,34.75,36.85,72.10000000000002,73.40000000000002,74.75000000000001,77.95000000000002,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.3670000000000001
86,20070517,2.142,2.5810000000000004,84.86708333333333,1.05,95.728,144.001,45.1243541667,0.6810226059399426,25.5208,-0.05372919999999999,0.7000000000000001,0.0194,5,7.5,29.1,35.80000000000001,36.40000000000001,62.75000000000001,74.15000000000002,75.25000000000001,79.00000000000001,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.363
87,20070518,2.1630000000000003,2.83,82.22020833333333,0.0,96.69,199.935,115.79652083299999,1.1342921483472719,34.8682,8.67098,0.7250000000000001,0.0263875,5,1.05,7.5,35.80000000000001,35.80000000000001,43.75000000000001,73.50000000000001,75.25000000000001,79.00000000000001,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.355
88,20070519,3.963,4.519,91.55729166666669,3.3,96.165,66.971,22.189125,0.03879459973078188,-13.2198,15.4649,0.75,0.033375,5,3.3,4.35,32.40000000000001,39.10000000000001,41.20000000000001,76.80000000000003,78.25000000000003,82.30000000000003,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.35600000000000004
89,20070520,3.3360000000000003,9.209,68.90666666666667,0.0,95.71,199.102,110.0640625,1.953729597276531,31.7075,18.8863,0.775,0.0403625,5,3.3,3.3,10.8,39.10000000000001,39.70000000000001,76.65000000000002,78.25000000000003,82.30000000000003,274.0,0,14,63,21,0,0,0,0,0,0,1,0,0,0,0.363
