TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20090101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.87,6.519,2.821,12.162,3.895,8.87,0.0,6.519,2.821,0.0,12.162,3.895,0.0,187.216,-9999,-9999,120.142,120.142,0.0,-9999,-9999,266.448,266.448,0.0,-9999,-9999,301.615,301.615,0.0,-9999,-9999,4.239,4.239,0.0,100.246,100.246,0.0,0.0,0.0,0.0,0.711,0.711,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.6464,0.0,24.9131,-9999,-9999,-9999,-9999,26.1831,0.0,33.2021,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-0.58795,0.0,-9999,-9999,-0.534042,0.0,-9999,-9999,-0.567929,0.0,0.0418751,-1.03902,-1.01251,-0.686956,-0.402019,-0.402019,-0.383326,-0.246697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767538,1.50042,0.0,-9999,-9999,-2.43434,2.13273,0.0,-9999,-9999,0.856591,1.58993,0.0,-9999,-9999,-2.43434,2.13273,0.0,-9999,-9999,0.0802162,0.176247,0.569678,0.745958,0.806616,0.858776,1.09227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.13923,-2.5153,-2.5153,-2.09973,-1.97411,-1.97411,-1.97411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.550872,0.514108,0.723293,0.111606,0.055857,0.100146,0.153986,0.610491,0.610491,1.28241,2.76806,1.00198,1.04815,1.29122,0.0944681,0.840943,1.00198,1.01251,1.01251,1.13917,1.5291,3.06784,2.31798,1.86249,1.84697,0.131586,0.40424,0.624185,1.31894,2.04455,2.31798,2.31798,3.29126,2.78959,3.60299,3.01281,0.0497035,2.69748,2.78959,2.78959,2.84936,3.30363,3.41397,3.56937,-9999,-9999
20090102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.364,7.554,2.066,11.897,2.724,9.364,0.0,7.554,2.066,0.0,11.897,2.724,0.0,187.836,-9999,-9999,108.455,108.455,0.0,-9999,-9999,301.237,301.237,0.0,-9999,-9999,337.208,337.208,0.0,-9999,-9999,2.341,2.341,0.0,99.779,99.779,0.0,0.488,0.488,0.0,1.04,1.04,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.9957,0.0,25.4034,-9999,-9999,-9999,-9999,25.6104,0.0,32.5366,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-0.905379,0.0,-9999,-9999,-0.77005,0.0,-9999,-9999,-0.759566,0.0,0.0259346,-1.05438,-0.905379,-0.823436,-0.749958,-0.699155,-0.629594,-0.42817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293781,0.64727,0.0,-9999,-9999,-2.50521,1.50017,0.0,-9999,-9999,0.530243,1.03391,0.0,-9999,-9999,-2.52327,1.4733,0.0,-9999,-9999,0.114648,0.130473,0.408453,0.408453,0.687201,0.708645,0.938772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.80034,-2.59903,-2.59903,-2.3063,-2.3063,-2.30453,-2.24354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.564297,0.526638,0.740271,0.114161,0.0572398,0.102522,0.157214,0.625369,0.625369,1.30892,2.83201,1.29329,1.29669,1.49984,0.100617,0.786809,1.12751,1.1569,1.37533,1.46968,1.73709,3.37312,2.34011,1.88026,1.86996,0.134057,0.408098,0.630143,1.33153,2.06407,2.34011,2.34011,3.3729,2.673,3.3527,2.84097,0.0442982,2.59132,2.59132,2.64097,2.673,3.18705,3.20331,3.2941,-9999,-9999
20090103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.664,6.588,1.909,9.171,1.598,7.664,0.0,6.588,1.909,0.0,9.171,1.598,0.0,188.514,-9999,-9999,99.963,99.963,0.0,-9999,-9999,285.831,285.831,0.0,-9999,-9999,321.446,321.446,0.0,-9999,-9999,1.732,1.732,0.0,99.786,99.786,0.0,0.366,0.366,0.0,1.124,1.124,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.7685,0.0,25.1148,-9999,-9999,-9999,-9999,25.3675,0.0,32.2279,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-1.07907,0.0,-9999,-9999,-0.993041,0.0,-9999,-9999,-0.955948,0.0,0.0344085,-1.35247,-1.13885,-1.07907,-0.908649,-0.879293,-0.879293,-0.575872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331608,0.785087,0.0,-9999,-9999,-2.95988,1.5057,0.0,-9999,-9999,0.480572,0.964486,0.0,-9999,-9999,-2.96946,1.49213,0.0,-9999,-9999,0.0695641,0.154002,0.344443,0.548886,0.640242,0.754799,1.06514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.51103,-3.22533,-3.22533,-2.84947,-2.80203,-2.80203,-2.78481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.501308,0.467852,0.649156,0.0966954,0.0502175,0.0920948,0.14501,0.555563,0.555563,1.20978,2.36511,1.48013,1.46089,1.6051,0.076587,1.09976,1.32765,1.43486,1.43486,1.58038,1.78565,2.98306,2.27595,1.82871,1.75384,0.122479,0.39691,0.612867,1.29503,2.00748,2.27595,2.27595,2.9252,2.61759,3.18504,2.73933,0.0425524,2.40641,2.40641,2.60646,2.61759,3.05159,3.07995,3.17735,-9999,-9999
20090104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.901,2.809,2.02,7.831,3.527,4.901,0.0,2.809,2.02,0.0,7.831,3.527,0.0,189.248,-9999,-9999,128.247,128.247,0.0,-9999,-9999,230.539,230.539,0.0,-9999,-9999,264.877,264.877,0.0,-9999,-9999,3.535,3.535,0.0,100.343,100.343,0.0,0.0,0.0,0.0,0.984,0.984,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.6464,0.0,24.8665,-9999,-9999,-9999,-9999,26.1831,0.0,33.1401,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-0.58795,0.0,-9999,-9999,-0.534042,0.0,-9999,-9999,-0.567929,0.0,0.0418751,-1.03902,-1.01251,-0.686956,-0.402019,-0.402019,-0.383326,-0.246697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767538,1.50042,0.0,-9999,-9999,-2.43434,2.13273,0.0,-9999,-9999,0.856591,1.58993,0.0,-9999,-9999,-2.43434,2.13273,0.0,-9999,-9999,0.0802162,0.176247,0.569678,0.745958,0.806616,0.858776,1.09227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.13923,-2.5153,-2.5153,-2.09973,-1.97411,-1.97411,-1.97411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415218,0.387507,0.531593,0.0764674,0.0409643,0.0773687,0.126347,0.460155,0.460155,1.05722,1.83001,0.866701,0.92155,1.09952,0.0614672,0.813303,0.862174,0.862174,0.866701,1.11639,1.30391,2.1298,2.16007,1.73561,1.59734,0.110914,0.376701,0.581663,1.0891,1.90527,2.16007,2.16007,2.35455,2.86336,3.76592,3.12547,0.0544693,2.75608,2.86336,2.86336,3.02536,3.37094,3.54924,3.75139,-9999,-9999
20090105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.368,2.781,2.163,6.59,2.386,4.368,0.0,2.781,2.163,0.0,6.59,2.386,0.0,190.04,-9999,-9999,52.7,52.7,0.0,-9999,-9999,272.299,272.299,0.0,-9999,-9999,307.602,307.602,0.0,-9999,-9999,2.963,2.963,0.0,100.625,100.625,0.0,0.0,0.0,0.0,0.666,0.666,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.9957,0.0,25.356,-9999,-9999,-9999,-9999,25.6104,0.0,32.4759,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-0.905379,0.0,-9999,-9999,-0.77005,0.0,-9999,-9999,-0.759566,0.0,0.0259346,-1.05438,-0.905379,-0.823436,-0.749958,-0.699155,-0.629594,-0.42817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293781,0.64727,0.0,-9999,-9999,-2.50521,1.50017,0.0,-9999,-9999,0.530243,1.03391,0.0,-9999,-9999,-2.52327,1.4733,0.0,-9999,-9999,0.114648,0.130473,0.408453,0.408453,0.687201,0.708645,0.938772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.80034,-2.59903,-2.59903,-2.3063,-2.3063,-2.30453,-2.24354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395886,0.369465,0.503853,0.0713957,0.0388191,0.074155,0.122547,0.438731,0.438731,1.02632,1.68995,1.12691,1.13952,1.26342,0.0580322,0.752141,0.95944,1.12854,1.18869,1.30126,1.45449,2.23105,2.13963,1.71918,1.5619,0.109479,0.373137,0.57616,0.965039,1.88724,2.13963,2.13963,2.21837,1.98084,1.9727,1.90449,0.054616,1.31506,1.46509,1.81699,1.98084,2.00049,2.07882,2.63674,-9999,-9999
20090106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.104,4.916,2.797,10.168,3.661,7.104,0.0,4.916,2.797,0.0,10.168,3.661,0.0,190.888,-9999,-9999,122.106,122.106,0.0,-9999,-9999,266.836,266.836,0.0,-9999,-9999,302.013,302.013,0.0,-9999,-9999,2.861,2.861,0.0,100.674,100.674,0.0,0.0,0.0,0.0,0.808,0.808,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.7685,0.0,24.9743,-9999,-9999,-9999,-9999,25.3675,0.0,32.0476,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-1.07907,0.0,-9999,-9999,-0.993041,0.0,-9999,-9999,-0.955948,0.0,0.0344085,-1.35247,-1.13885,-1.07907,-0.908649,-0.879293,-0.879293,-0.575872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331608,0.785087,0.0,-9999,-9999,-2.95988,1.5057,0.0,-9999,-9999,0.480572,0.964486,0.0,-9999,-9999,-2.96946,1.49213,0.0,-9999,-9999,0.0695641,0.154002,0.344443,0.548886,0.640242,0.754799,1.06514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.51103,-3.22533,-3.22533,-2.84947,-2.80203,-2.80203,-2.78481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488617,0.456008,0.634374,0.0948948,0.0489773,0.0897545,0.141557,0.541498,0.541498,1.18125,2.32373,1.47088,1.44905,1.59032,0.074913,1.0963,1.32008,1.42079,1.42079,1.56769,1.75713,2.94168,2.24908,1.80712,1.73191,0.120297,0.392224,0.605631,1.27974,1.98378,2.24908,2.24908,2.85595,2.81903,3.64925,3.04937,0.0506235,2.72656,2.81903,2.81903,2.89339,3.33896,3.45497,3.61841,-9999,-9999
20090107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.378,6.703,3.29,13.123,4.711,9.378,0.0,6.703,3.29,0.0,13.123,4.711,0.0,191.791,-9999,-9999,125.009,125.009,0.0,-9999,-9999,273.41,273.41,0.0,-9999,-9999,308.739,308.739,0.0,-9999,-9999,3.346,3.346,0.0,100.597,100.597,0.0,0.0,0.0,0.0,0.49,0.49,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.6464,0.0,24.7268,-9999,-9999,-9999,-9999,26.1831,0.0,32.9539,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-0.58795,0.0,-9999,-9999,-0.534042,0.0,-9999,-9999,-0.567929,0.0,0.0418751,-1.03902,-1.01251,-0.686956,-0.402019,-0.402019,-0.383326,-0.246697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767538,1.50042,0.0,-9999,-9999,-2.43434,2.13273,0.0,-9999,-9999,0.856591,1.58993,0.0,-9999,-9999,-2.43434,2.13273,0.0,-9999,-9999,0.0802162,0.176247,0.569678,0.745958,0.806616,0.858776,1.09227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.13923,-2.5153,-2.5153,-2.09973,-1.97411,-1.97411,-1.97411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.572537,0.534327,0.756316,0.118489,0.0583461,0.103635,0.157796,0.634501,0.634501,1.31319,2.95281,1.02608,1.06837,1.32425,0.101213,0.844753,1.02608,1.03652,1.03652,1.16049,1.55988,3.25259,2.33509,1.87623,1.88876,0.136606,0.407223,0.628792,1.32868,2.08406,2.33509,2.33509,3.45429,2.84643,3.70822,3.09043,0.0522572,2.74829,2.84643,2.84643,2.95652,3.36415,3.50419,3.68402,-9999,-9999
20090108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.984,7.106,3.185,14.015,4.342,9.984,0.0,7.106,3.185,0.0,14.015,4.342,0.0,192.752,-9999,-9999,124.654,124.654,0.0,-9999,-9999,272.831,272.831,0.0,-9999,-9999,308.146,308.146,0.0,-9999,-9999,4.029,4.029,0.0,100.196,100.196,0.0,0.0,0.0,0.0,1.107,1.107,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.9957,0.0,25.0717,-9999,-9999,-9999,-9999,25.6104,0.0,32.1117,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-0.905379,0.0,-9999,-9999,-0.77005,0.0,-9999,-9999,-0.759566,0.0,0.0259346,-1.05438,-0.905379,-0.823436,-0.749958,-0.699155,-0.629594,-0.42817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293781,0.64727,0.0,-9999,-9999,-2.50521,1.50017,0.0,-9999,-9999,0.530243,1.03391,0.0,-9999,-9999,-2.52327,1.4733,0.0,-9999,-9999,0.114648,0.130473,0.408453,0.408453,0.687201,0.708645,0.938772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.80034,-2.59903,-2.59903,-2.3063,-2.3063,-2.30453,-2.24354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.594583,0.554902,0.788187,0.124668,0.0607997,0.107292,0.162106,0.658932,0.658932,1.34822,3.11569,1.3288,1.32495,1.54775,0.11122,0.791701,1.16167,1.16167,1.40889,1.49996,1.77639,3.65679,2.35828,1.89486,1.92988,0.1418,0.411267,0.635037,1.34187,2.2338,2.35828,2.35828,3.61053,2.84897,3.70539,3.08945,0.0520676,2.72975,2.84897,2.84897,2.94976,3.36698,3.50323,3.67931,-9999,-9999
20090109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.29,6.759,3.055,12.834,4.707,9.29,0.0,6.759,3.055,0.0,12.834,4.707,0.0,193.766,-9999,-9999,130.711,130.711,0.0,-9999,-9999,252.011,252.011,0.0,-9999,-9999,286.845,286.845,0.0,-9999,-9999,4.846,4.846,0.0,100.73,100.73,0.0,0.0,0.0,0.0,1.031,1.031,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.7685,0.0,24.6931,-9999,-9999,-9999,-9999,25.3675,0.0,31.6868,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-1.07907,0.0,-9999,-9999,-0.993041,0.0,-9999,-9999,-0.955948,0.0,0.0344085,-1.35247,-1.13885,-1.07907,-0.908649,-0.879293,-0.879293,-0.575872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331608,0.785087,0.0,-9999,-9999,-2.95988,1.5057,0.0,-9999,-9999,0.480572,0.964486,0.0,-9999,-9999,-2.96946,1.49213,0.0,-9999,-9999,0.0695641,0.154002,0.344443,0.548886,0.640242,0.754799,1.06514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.51103,-3.22533,-3.22533,-2.84947,-2.80203,-2.80203,-2.78481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56833,0.530401,0.749782,0.117087,0.0578558,0.102967,0.157101,0.629838,0.629838,1.30759,2.91506,1.55324,1.52344,1.70573,0.0969185,1.11185,1.40534,1.45544,1.50913,1.6474,1.88346,3.53301,2.33245,1.87411,1.88075,0.135564,0.406763,0.628082,1.32718,2.05731,2.33245,2.33245,3.42181,2.89872,3.82288,3.16576,0.0562904,2.66544,2.89872,2.89872,3.08024,3.41589,3.59954,3.81199,-9999,-9999
20090110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.701,6.999,3.5,13.483,4.933,9.701,0.0,6.999,3.5,0.0,13.483,4.933,0.0,194.837,-9999,-9999,130.465,130.465,0.0,-9999,-9999,258.649,258.649,0.0,-9999,-9999,293.637,293.637,0.0,-9999,-9999,6.127,6.127,0.0,101.634,101.634,0.0,0.0,0.0,0.0,1.417,1.417,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.6464,0.0,24.5406,-9999,-9999,-9999,-9999,26.1831,0.0,32.7057,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-0.58795,0.0,-9999,-9999,-0.534042,0.0,-9999,-9999,-0.567929,0.0,0.0418751,-1.03902,-1.01251,-0.686956,-0.402019,-0.402019,-0.383326,-0.246697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767538,1.50042,0.0,-9999,-9999,-2.43434,2.13273,0.0,-9999,-9999,0.856591,1.58993,0.0,-9999,-9999,-2.43434,2.13273,0.0,-9999,-9999,0.0802162,0.176247,0.569678,0.745958,0.806616,0.858776,1.09227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.13923,-2.5153,-2.5153,-2.09973,-1.97411,-1.97411,-1.97411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585161,0.546108,0.775108,0.122292,0.0597748,0.105697,0.16014,0.64849,0.64849,1.33218,3.05386,1.03964,1.08015,1.34304,0.104937,0.847096,1.03964,1.05051,1.05051,1.17311,1.57888,3.35364,2.34678,1.88562,1.91292,0.139681,0.409261,0.631939,1.33533,2.18508,2.34678,2.34678,3.54665,2.89975,3.81993,3.16095,0.0567053,2.55501,2.89975,2.89975,3.0753,3.41049,3.59786,3.8079,-9999,-9999
20090111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.463,8.648,3.374,15.403,4.936,11.463,0.0,8.648,3.374,0.0,15.403,4.936,0.0,195.961,-9999,-9999,131.851,131.851,0.0,-9999,-9999,271.121,271.121,0.0,-9999,-9999,306.396,306.396,0.0,-9999,-9999,7.247,7.247,0.0,101.39,101.39,0.0,0.0,0.0,0.0,0.812,0.812,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.9957,0.0,24.8821,-9999,-9999,-9999,-9999,25.6104,0.0,31.8689,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-0.905379,0.0,-9999,-9999,-0.77005,0.0,-9999,-9999,-0.759566,0.0,0.0259346,-1.05438,-0.905379,-0.823436,-0.749958,-0.699155,-0.629594,-0.42817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293781,0.64727,0.0,-9999,-9999,-2.50521,1.50017,0.0,-9999,-9999,0.530243,1.03391,0.0,-9999,-9999,-2.52327,1.4733,0.0,-9999,-9999,0.114648,0.130473,0.408453,0.408453,0.687201,0.708645,0.938772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.80034,-2.59903,-2.59903,-2.3063,-2.3063,-2.30453,-2.24354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651006,0.607559,0.87153,0.141445,0.067154,0.116553,0.172751,0.721461,0.721461,1.43459,3.55781,1.38871,1.37761,1.6311,0.128063,0.802346,1.17094,1.17094,1.47142,1.55638,1.86276,4.09891,2.41278,1.93866,2.03742,0.157128,0.420772,0.649713,1.37289,2.41278,2.41278,2.66837,4.01965,2.91228,3.84698,3.17263,0.0591209,2.56947,2.91228,2.91228,3.10509,3.44328,3.6203,3.83826,-9999,-9999
20090112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.85,10.096,4.077,16.707,5.337,12.85,0.0,10.096,4.077,0.0,16.707,5.337,0.0,197.14,-9999,-9999,130.848,130.848,0.0,-9999,-9999,282.537,282.537,0.0,-9999,-9999,318.076,318.076,0.0,-9999,-9999,7.837,7.837,0.0,100.964,100.964,0.0,0.0,0.0,0.0,1.448,1.448,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.7685,0.0,24.5521,-9999,-9999,-9999,-9999,25.3675,0.0,31.5058,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-1.07907,0.0,-9999,-9999,-0.993041,0.0,-9999,-9999,-0.955948,0.0,0.0344085,-1.35247,-1.13885,-1.07907,-0.908649,-0.879293,-0.879293,-0.575872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331608,0.785087,0.0,-9999,-9999,-2.95988,1.5057,0.0,-9999,-9999,0.480572,0.964486,0.0,-9999,-9999,-2.96946,1.49213,0.0,-9999,-9999,0.0695641,0.154002,0.344443,0.548886,0.640242,0.754799,1.06514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.51103,-3.22533,-3.22533,-2.84947,-2.80203,-2.80203,-2.78481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.706924,0.659746,0.955698,0.158992,0.0735219,0.125638,0.182924,0.783431,0.783431,1.51694,4.01864,1.7017,1.65279,1.91165,0.138836,1.13767,1.47811,1.47811,1.66272,1.786,2.09281,4.63659,2.46181,1.97805,2.14551,0.175006,0.429323,0.662916,1.40078,2.46181,2.46181,3.14256,4.43369,2.90873,3.83105,3.16083,0.0589575,2.56258,2.90873,2.90873,3.08428,3.42044,3.60841,3.81897,-9999,-9999
