TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20130101,35.833,1.0,33.698,4.04,1.0,37.358,4.229,1.0,34.298,31.404,2.154,36.366,3.765,35.833,1.0,33.698,4.04,1.0,37.358,4.229,1.0,511.922,317.5,1.0,314.38,317.5,1.0,405.476,1.0,405.85,405.476,1.0,429.842,1.0,427.112,429.842,1.0,52.469,1.0,48.595,52.469,1.0,95.326,95.374,1.0,0.0,0.0,1.0,2.986,2.97,1.0,0.325,0.916666666667,167.511627907,0.895833333333,45.1041666667,1.0,526.833333333,1.0,384.835,1.0,38.856,1.0,9.2,1.0,20.875,1.0,10.8231,0.979167,13.3788,12.8718,14.4746,2.18353,2.48586,90.523,1.0,111.898,107.657,121.063,5.94793,11.5815,8.0,1,20,28,20,28,0.188595,0.854167,0.0700879,0.0743268,0.188595,0.854167,0.0698684,0.0741198,0.214403,0.861458,0.00707617,0.187247,0.187552,0.188595,0.188595,0.227011,0.237036,0.325907,0.854167,0.854167,0.854167,0.854167,0.875,0.875,0.875,1.2789,0.535293,0.85,0.0720905,0.0737071,-0.601943,0.996603,0.857143,0.103702,0.116596,1.2789,0.535293,0.85,0.0714194,0.0730509,-0.601943,0.996603,0.857143,0.103535,0.116447,1.27511,1.27681,1.27695,1.2789,1.28272,1.30752,1.3164,0.85,0.85,0.85,0.85,0.85,0.85,0.85,-0.602682,-0.602278,-0.601943,-0.601943,-0.549636,-0.495685,-0.395552,0.857143,0.857143,0.857143,0.857143,0.892857,0.857143,0.892857,1.24647,1.24027,1.24927,0.00399704,1.21623,1.2379,1.2379,1.24474,1.24994,1.25526,1.30402,1.04947,1.05168,1.03487,0.00484426,0.96484,0.981421,1.01822,1.04931,1.05168,1.06114,1.06239,0.471468,0.470056,0.455137,0.0283635,0.240943,0.276849,0.277285,0.470056,0.654167,0.656447,0.758249,0.247897,0.246788,0.241175,0.016307,0.124756,0.144042,0.144409,0.246788,0.36252,0.364598,0.415963,-9999,-9999
20130102,34.746,1.0,31.573,2.05,1.0,37.014,4.501,1.0,34.068,31.536,2.855,35.877,4.394,34.746,1.0,31.573,2.05,1.0,37.014,4.501,1.0,511.608,299.938,1.0,344.426,299.938,1.0,412.551,1.0,405.65,412.551,1.0,464.831,1.0,426.902,464.831,1.0,44.262,1.0,43.85,44.262,1.0,95.3,95.357,1.0,0.0,0.0,1.0,2.663,3.665,1.0,0.530222222222,0.9375,147.195652174,0.958333333333,41.8958333333,1.0,528.1875,1.0,381.29,1.0,40.53,1.0,9.0,1.0,20.1042,1.0,17.2935,1.0,21.0358,20.4838,22.1028,2.67698,2.93372,76.077,1.0,92.5398,90.1114,97.2339,5.7082,7.77562,9.0,1,20,28,20,28,0.39561,1.0,0.0704068,0.0713816,0.396057,1.0,0.0700645,0.071044,0.403836,0.997917,0.00257086,0.387422,0.39561,0.39561,0.397388,0.398617,0.419123,0.429823,1.0,1.0,1.0,1.0,1.0,0.979167,1.0,1.03183,0.228393,1.0,0.0660414,0.067293,-0.0834866,1.02749,1.0,0.106314,0.107846,1.03286,0.228364,1.0,0.0652955,0.0665611,-0.0834866,1.02749,1.0,0.105931,0.107469,1.01289,1.03183,1.03183,1.03481,1.03878,1.05766,1.06606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0834866,-0.0834866,-0.0834866,-0.0834866,-0.0834866,-0.0472589,-0.0472035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.19624,1.19077,1.19919,0.00376348,1.16838,1.18903,1.18903,1.19539,1.19665,1.20819,1.25201,0.798855,0.794713,0.795355,0.00218066,0.773686,0.780954,0.793417,0.794713,0.798855,0.798951,0.827649,0.443863,0.44242,0.428786,0.0267282,0.226035,0.260916,0.261431,0.44242,0.615732,0.617623,0.712819,0.294332,0.293379,0.28577,0.0150086,0.176124,0.19542,0.195801,0.293379,0.39799,0.399295,0.442335,-9999,-9999
20130103,33.096,1.0,30.701,1.759,1.0,34.807,3.626,1.0,33.034,30.482,1.83,34.858,3.461,33.096,1.0,30.701,1.759,1.0,34.807,3.626,1.0,511.257,341.021,1.0,338.464,341.021,1.0,405.104,1.0,409.019,405.104,1.0,439.957,1.0,430.444,439.957,1.0,38.06,1.0,38.478,38.06,1.0,95.14,95.204,1.0,0.0,0.0,1.0,4.254,4.591,1.0,0.590212765957,0.979166666667,177.604166667,1.0,47.5,1.0,519.520833333,1.0,380.541,1.0,40.412,1.0,8.8,1.0,16.4375,1.0,18.5943,1.0,22.618,22.0245,23.7653,2.37796,2.70555,113.241,0.979167,137.746,134.131,144.733,5.88672,9.81928,10.0,1,20,28,20,28,0.414779,1.0,0.0609388,0.0622669,0.41592,1.0,0.060729,0.0620615,0.422391,0.997396,0.00194939,0.413969,0.414205,0.414779,0.41592,0.42243,0.439788,0.442171,1.0,1.0,1.0,1.0,1.0,1.0,0.979167,0.964613,0.253437,1.0,0.0671199,0.0697403,-0.00380772,1.27229,1.0,0.0885195,0.0886017,0.96725,0.253628,1.0,0.0667697,0.0694033,-0.00380772,1.27229,1.0,0.0882607,0.0883431,0.954977,0.962739,0.963285,0.96725,0.984214,1.00061,1.04466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0167938,-0.00517083,-0.00493598,-0.00380772,-0.00380772,0.00246013,0.0117918,0.964286,1.0,1.0,1.0,1.0,1.0,1.0,1.11896,1.11462,1.12214,0.00345695,1.09481,1.11328,1.11388,1.11462,1.1207,1.13597,1.172,0.696912,0.698699,0.699748,0.0018558,0.680402,0.694707,0.696912,0.698699,0.699312,0.700211,0.725163,0.603371,0.60456,0.596444,0.0176688,0.461065,0.48418,0.484853,0.603371,0.718383,0.720523,0.784555,0.493241,0.493689,0.480398,0.0136002,0.371792,0.395035,0.397317,0.493241,0.580515,0.582413,0.61844,-9999,-9999
20130104,25.714,1.0,25.453,2.785,1.0,25.9,4.738,1.0,27.239,25.895,1.912,28.2,3.793,25.714,1.0,25.453,2.785,1.0,25.9,4.738,1.0,510.87,377.812,1.0,359.873,377.812,1.0,347.542,1.0,361.821,347.542,1.0,362.943,1.0,380.819,362.943,1.0,24.275,1.0,27.215,24.275,1.0,95.315,95.419,1.0,0.0,0.0,1.0,4.456,5.26,1.0,0.602380952381,0.875,191.5,1.0,53.3541666667,1.0,478.583333333,1.0,378.185,1.0,37.652,1.0,8.7,1.0,2.35417,1.0,21.2722,1.0,25.7208,22.6968,27.188,2.32192,4.05897,132.642,0.916667,160.381,141.525,169.53,6.078,21.6309,11.0,1,20,28,20,28,-0.436318,1.0,0.0834265,0.0834323,-0.435755,1.0,0.0834277,0.0834335,-0.43536,1.0,0.00108023,-0.452599,-0.436845,-0.436318,-0.435755,-0.434903,-0.434876,-0.422682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.638033,0.18781,1.0,0.075919,0.0759485,-1.17652,1.08849,1.0,0.126701,0.127168,0.639334,0.190222,1.0,0.0759821,0.0760115,-1.17652,1.08849,1.0,0.126684,0.127151,0.631795,0.638033,0.638033,0.639334,0.641368,0.642265,0.697128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.19896,-1.19831,-1.19455,-1.17652,-1.17652,-1.17652,-1.17652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.809207,0.808578,0.81299,0.00294021,0.7898,0.790499,0.803912,0.809207,0.817274,0.840545,0.848698,1.24517,1.24433,1.24835,0.00283947,1.22468,1.2254,1.23895,1.24517,1.25412,1.27269,1.27435,0.633918,0.640895,0.642012,0.003989,0.587408,0.624233,0.626789,0.640895,0.654908,0.655057,0.665506,1.26018,1.25773,1.25948,0.00180542,1.23903,1.24763,1.24849,1.25773,1.2708,1.27108,1.27209,-9999,-9999
20130105,28.05,1.0,27.544,5.316,1.0,28.411,6.137,1.0,28.839,26.809,4.231,30.289,5.117,28.05,1.0,27.544,5.316,1.0,28.411,6.137,1.0,510.444,366.229,1.0,350.135,366.229,1.0,376.688,1.0,383.99,376.688,1.0,399.568,1.0,404.128,399.568,1.0,26.191,1.0,29.335,26.191,1.0,95.581,95.64,1.0,0.0,0.0,1.0,5.68,6.003,1.0,0.760638297872,0.979166666667,200.666666667,1.0,50.9791666667,1.0,489.458333333,1.0,376.711,1.0,37.329,1.0,8.7,1.0,15.125,1.0,18.3845,1.0,22.2292,19.6158,23.4973,2.79578,4.0119,140.85,0.958333,170.306,150.283,180.021,6.11275,22.8759,11.0,1,20,28,20,28,-0.487806,0.979167,0.103236,0.103236,-0.487806,0.979167,0.103125,0.103125,-0.487798,0.979167,5.01173e-06,-0.487806,-0.487806,-0.487806,-0.487806,-0.487806,-0.487806,-0.487806,0.979167,0.979167,0.979167,0.979167,0.979167,0.979167,0.979167,0.920757,0.472986,1.0,0.0733271,0.0733271,-1.46352,2.09412,0.964286,0.1623,0.1623,0.920757,0.472986,1.0,0.0733381,0.0733381,-1.46352,2.09412,0.964286,0.162105,0.162105,0.920757,0.920757,0.920757,0.920757,0.920757,0.920757,0.920757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.46352,-1.46352,-1.46352,-1.46352,-1.46352,-1.46352,-1.46352,0.964286,0.964286,0.964286,0.964286,0.964286,0.964286,0.964286,0.907781,0.905791,0.910958,0.00297926,0.891578,0.893161,0.897399,0.906892,0.913405,0.93313,0.94909,1.39559,1.3936,1.39876,0.00297689,1.37938,1.38097,1.3852,1.3947,1.40121,1.42094,1.4369,0.819296,0.820705,0.826872,0.00264859,0.800785,0.818497,0.819296,0.820705,0.829367,0.837309,0.865287,1.31073,1.31127,1.30251,0.00415078,1.24616,1.25331,1.30621,1.31073,1.3138,1.31568,1.32374,-9999,-9999
20130106,30.366,1.0,30.395,1.205,1.0,30.345,1.586,1.0,30.659,29.376,2.133,31.576,2.655,30.366,1.0,30.395,1.205,1.0,30.345,1.586,1.0,509.98,81.042,1.0,230.39,81.042,1.0,421.729,1.0,419.017,421.729,1.0,469.375,1.0,440.956,469.375,1.0,29.044,1.0,32.767,29.044,1.0,95.774,95.851,1.0,0.0,0.0,1.0,3.998,4.05,1.0,0.483125,1.0,11.6875,1.0,10.6875,1.0,479.020833333,1.0,377.554,1.0,33.514,1.0,8.6,1.0,-7.79167,1.0,6.74729,1.0,8.20738,7.99201,9.02364,1.50474,1.68791,12.2064,1.0,14.8478,14.4582,16.3245,2.34037,2.7187,12.0,1,20,28,20,28,0.383525,1.0,0.0544697,0.0574722,0.365542,1.0,0.0540407,0.0570658,0.369421,0.999479,0.00256981,0.342332,0.346858,0.361585,0.365542,0.383525,0.383525,0.389147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.940833,0.189122,1.0,0.0747047,0.0755674,-0.0384539,0.654544,1.0,0.072453,0.075764,0.940833,0.189122,1.0,0.0730936,0.0739751,-0.0681601,0.653466,1.0,0.0724147,0.0757274,0.909289,0.918062,0.931758,0.940833,0.940833,0.940833,0.940833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.092381,-0.0827599,-0.0746971,-0.0681601,-0.0384539,-0.0384539,-0.0291666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.974268,0.972292,0.97697,0.00295801,0.956495,0.961595,0.96198,0.972292,0.978304,0.994685,1.01921,0.610447,0.60675,0.607549,0.00515232,0.567349,0.577989,0.57807,0.60675,0.616719,0.647827,0.673011,0.772391,0.758346,0.771306,0.00535202,0.675089,0.757843,0.758346,0.772261,0.772391,0.797079,0.824412,0.532387,0.554111,0.544472,0.00309784,0.505748,0.53209,0.532161,0.550772,0.554111,0.557611,0.57158,-9999,-9999
20130107,36.303,1.0,34.172,5.407,1.0,37.826,5.624,1.0,34.989,32.374,3.613,36.857,4.848,36.303,1.0,34.172,5.407,1.0,37.826,5.624,1.0,509.48,331.146,1.0,319.954,331.146,1.0,421.311,1.0,429.91,421.311,1.0,458.476,1.0,452.409,458.476,1.0,50.73,1.0,47.726,50.73,1.0,95.549,95.542,1.0,0.0,0.0,1.0,4.802,4.233,1.0,0.466744186047,0.895833333333,212.0,0.791666666667,45.375,1.0,537.5,1.0,379.058,1.0,39.24,1.0,8.4,1.0,32.0417,1.0,21.5486,1.0,26.2116,25.5238,28.8185,2.75419,3.6811,93.0873,1.0,113.231,110.26,124.492,5.7519,12.0166,13.0,1,20,28,20,28,0.311196,1.0,0.073992,0.0777184,0.310012,1.0,0.0738046,0.07754,0.320646,1.0,0.00404428,0.303029,0.303573,0.310012,0.310393,0.311196,0.351126,0.383143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02115,0.370436,1.0,0.0717146,0.0843565,-0.215306,0.972369,1.0,0.110981,0.111609,1.02379,0.36896,1.0,0.070561,0.083378,-0.219151,0.971944,1.0,0.111018,0.111645,0.980724,1.00226,1.00287,1.02379,1.03596,1.0911,1.09815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.22766,-0.219431,-0.219151,-0.215306,-0.199305,-0.195784,-0.148198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.21464,1.21059,1.21625,0.00362987,1.18771,1.20296,1.20296,1.21078,1.21847,1.21949,1.26322,0.904243,0.900583,0.895603,0.00245422,0.862804,0.878011,0.882662,0.89692,0.904243,0.914897,0.916458,0.924432,0.900039,0.906385,0.00945967,0.759888,0.853893,0.878312,0.900039,0.92603,0.965086,1.02699,0.522807,0.506028,0.475349,0.0143373,0.251885,0.350332,0.361573,0.506028,0.524003,0.549053,0.582756,-9999,-9999
20130108,37.6,1.0,35.753,4.398,1.0,38.919,6.038,1.0,35.609,32.539,3.416,37.802,5.549,37.6,1.0,35.753,4.398,1.0,38.919,6.038,1.0,508.943,335.833,1.0,351.153,335.833,1.0,408.06,1.0,411.372,408.06,1.0,444.372,1.0,432.917,444.372,1.0,58.404,1.0,50.947,58.404,1.0,95.345,95.337,1.0,0.0,0.0,1.0,5.648,4.421,1.0,0.635,0.958333333333,147.022727273,0.916666666667,48.1875,1.0,544.208333333,1.0,379.859,1.0,41.488,1.0,8.4,1.0,21.5625,1.0,23.0015,1.0,28.4329,27.2447,31.5823,2.83248,4.28504,100.495,1.0,124.225,119.034,137.985,5.88495,15.231,14.0,1,20,28,20,28,0.725587,1.0,0.0747252,0.0749466,0.725899,1.0,0.0744698,0.074692,0.721205,1.0,0.00141963,0.697201,0.714386,0.718226,0.725491,0.725587,0.725899,0.725916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.22868,0.523735,1.0,0.0722724,0.0722768,0.321018,1.07471,1.0,0.112131,0.112501,1.22906,0.523484,1.0,0.0707159,0.0707204,0.321263,1.07484,1.0,0.112174,0.112543,1.22745,1.22749,1.22795,1.22868,1.22906,1.22909,1.24765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26037,0.303035,0.309677,0.320162,0.321018,0.321263,0.321269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.26893,1.27256,1.27058,0.00266032,1.25183,1.25628,1.25974,1.26893,1.2772,1.28483,1.28916,0.544403,0.546663,0.549373,0.00339725,0.530932,0.534157,0.534157,0.544403,0.559338,0.561303,0.591955,0.810747,0.806435,0.785616,0.0112891,0.645312,0.699446,0.742918,0.806435,0.812515,0.833923,0.908753,0.363541,0.360275,0.332962,0.009211,0.229816,0.24008,0.253569,0.360275,0.36452,0.374579,0.40352,-9999,-9999
20130109,36.861,1.0,33.387,4.874,1.0,39.343,6.507,1.0,35.673,32.396,4.203,38.015,5.833,36.861,1.0,33.387,4.874,1.0,39.343,6.507,1.0,508.367,333.125,1.0,331.222,333.125,1.0,402.751,1.0,414.056,402.751,1.0,446.235,1.0,435.74,446.235,1.0,55.813,1.0,52.841,55.813,1.0,94.877,94.859,1.0,0.0,0.0,1.0,4.69,4.996,1.0,0.605348837209,0.895833333333,168.918918919,0.770833333333,47.7083333333,1.0,542.604166667,1.0,378.694,1.0,42.093,1.0,8.2,1.0,20.5208,1.0,19.5003,1.0,23.7201,23.0977,26.775,2.45015,3.66525,91.4936,1.0,111.292,108.372,125.625,5.58364,13.9555,13.0,1,20,28,20,28,0.646491,1.0,0.0724491,0.0735446,0.660272,1.0,0.072272,0.0733701,0.650003,1.0,0.00179529,0.624815,0.63693,0.645237,0.646491,0.660272,0.662222,0.662421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15671,0.739409,1.0,0.108161,0.110194,0.24176,0.797383,1.0,0.0914079,0.0915046,1.19128,0.708312,1.0,0.108089,0.110123,0.239834,0.79831,1.0,0.0910679,0.0911649,1.12264,1.15215,1.1541,1.15671,1.19267,1.19429,1.19589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22922,0.233651,0.239834,0.241555,0.242054,0.242061,0.243861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33403,1.3699,1.33931,0.00741635,1.234,1.2927,1.31412,1.34778,1.3699,1.37824,1.38633,0.671806,0.70963,0.689303,0.00684915,0.601174,0.648721,0.661236,0.70129,0.70963,0.733003,0.739692,0.700022,0.695723,0.673008,0.0104084,0.542359,0.592201,0.61714,0.695723,0.700243,0.713975,0.770882,0.257885,0.260567,0.24162,0.00504404,0.182909,0.188278,0.221948,0.257885,0.259494,0.260567,0.276571,-9999,-9999
20130110,27.336,1.0,26.467,3.22,1.0,27.957,4.67,1.0,29.799,27.878,2.246,31.172,3.813,27.336,1.0,26.467,3.22,1.0,27.957,4.67,1.0,507.756,325.25,1.0,346.258,325.25,1.0,384.479,1.0,388.445,384.479,1.0,409.606,1.0,408.812,409.606,1.0,24.275,1.0,29.907,24.275,1.0,94.752,94.896,1.0,0.0,0.0,1.0,5.025,5.137,1.0,0.590638297872,0.979166666667,178.791666667,1.0,45.2083333333,1.0,484.25,1.0,374.788,1.0,38.607,1.0,8.2,1.0,0.520833,1.0,13.2883,1.0,16.0673,14.6094,16.9838,2.34912,2.93538,134.149,1.0,162.204,147.486,171.456,6.12657,18.7957,13.0,1,20,28,20,28,-0.047342,1.0,0.0970145,0.097042,-0.0472459,1.0,0.0970513,0.0970788,-0.0451039,1.0,0.000697694,-0.0484237,-0.047342,-0.047342,-0.0472459,-0.0462002,-0.04272,-0.0351903,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.824592,0.488101,1.0,0.141413,0.141514,-0.667202,1.1365,1.0,0.124426,0.124426,0.824814,0.487895,1.0,0.141413,0.141514,-0.667202,1.1365,1.0,0.124504,0.124504,0.82209,0.824592,0.824592,0.824814,0.827233,0.835282,0.852696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.667202,-0.667202,-0.667202,-0.667202,-0.667202,-0.667202,-0.667202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.967811,1.01947,0.976427,0.0100587,0.834088,0.861904,0.967811,0.994218,1.00303,1.01947,1.01947,1.01506,1.06671,1.02153,0.010644,0.868667,0.897094,1.01506,1.04264,1.04966,1.06671,1.06671,0.376078,0.372836,0.363842,0.00376431,0.318553,0.337378,0.352453,0.371667,0.376078,0.381299,0.393044,0.773135,0.772856,0.772029,0.00142906,0.758975,0.765328,0.767248,0.770536,0.773135,0.773135,0.789497,-9999,-9999
20130111,24.525,1.0,24.696,1.813,1.0,24.403,2.826,1.0,26.46,25.147,2.292,27.397,3.511,24.525,1.0,24.696,1.813,1.0,24.403,2.826,1.0,507.105,174.688,1.0,266.384,174.688,1.0,394.792,1.0,393.225,394.792,1.0,429.6,1.0,413.838,429.6,1.0,17.666,1.0,23.395,17.666,1.0,95.199,95.304,1.0,0.0,0.0,1.0,4.62,5.482,1.0,0.697708333333,1.0,87.2708333333,1.0,24.0,1.0,457.104166667,1.0,373.843,1.0,33.388,1.0,8.2,1.0,-7.85417,1.0,8.06464,1.0,9.74054,8.86637,10.3074,2.57544,2.78819,81.2897,0.979167,98.1824,89.3709,103.896,5.14114,11.9319,13.0,1,20,28,20,28,-0.534808,1.0,0.131494,0.131499,-0.534808,1.0,0.131451,0.131455,-0.533826,1.0,0.000416215,-0.534822,-0.534808,-0.534808,-0.534808,-0.534808,-0.532618,-0.532254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.389504,1.55122,1.0,0.239621,0.239627,-1.1617,1.4724,1.0,0.133758,0.13376,0.389504,1.55122,1.0,0.239621,0.239627,-1.1617,1.4724,1.0,0.133641,0.133643,0.389504,0.389504,0.389504,0.389504,0.389528,0.392737,0.393579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.16174,-1.1617,-1.1617,-1.1617,-1.1617,-1.16039,-1.16039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.928441,0.988847,0.935916,0.0115467,0.771039,0.803569,0.928441,0.950201,0.966793,0.988847,0.988847,1.46325,1.52365,1.46974,0.0118525,1.29366,1.33582,1.46325,1.48501,1.5016,1.52365,1.52365,0.563645,0.548426,0.588106,0.00659952,0.546381,0.548426,0.550993,0.563645,0.631043,0.642252,0.64668,0.819848,0.822367,0.843708,0.00507024,0.809866,0.811803,0.814804,0.822367,0.875349,0.877982,0.892366,-9999,-9999
